@relation 'data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,101,103-105,107-108,110-112,114-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R1-3,6,8,12-15,17-24,27-31,35-46,49-55,57'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
13,17,1302,12.108109,37,316,90.953148,132,5,3.567568,235,448,8.540541,1067,0,clean
3,56,43,1.142857,14,14,43.581394,38,4,2.714286,42,16,1,1,0,buggy
18,19,1256,12.263158,38,333,81.401276,340,3,8.947369,659,466,8.763158,597,0,clean
35,4,2339,6.134021,97,298,86.341171,380,9,3.917526,1471,595,3.072165,868,0,clean
25,72,782,3.363636,88,268,86.442451,297,5,3.375,1138,296,3.045455,-356,0,clean
2,43,121,18,4,64,42.190083,14,1,3.5,22,72,16,99,0,clean
2,160,26,0.145161,124,9,62.46154,24,1,0.193548,35,18,0.072581,-9,0,clean
2,133,35,0.666667,39,11,37.114285,15,2,0.384615,20,26,0.282051,15,0,clean
8,31,0,0,32,0,0,0,3,0,0,0,0,0,2,buggy
4,84,0,0,7,0,0,0,2,0,0,0,0,0,0,clean
23,131,0,0,90,0,0,0,3,0,0,0,0,0,3,buggy
6,49,0,0,23,0,0,0,2,0,0,0,0,0,4,clean
8,152,641,6.25,20,107,15.708268,43,2,2.15,190,125,5.35,451,0,clean
3,49,0,0,10,0,0,0,2,0,0,0,0,0,1,clean
4,39,0,0,15,0,0,0,2,0,0,0,0,0,1,buggy
4,39,0,0,11,0,0,0,2,0,0,0,0,0,1,clean
2,37,15,0.3125,16,2,22,4,2,0.25,16,5,0.125,-1,1,clean
9,153,232,7.35,20,145,66.206894,17,4,0.85,65,147,7.25,167,1,clean
2,21,108,3.4,10,23,12.175926,32,1,3.2,79,34,2.3,29,0,clean
6,41,0,0,17,0,0,0,3,0,0,0,0,0,0,buggy
2,37,0,0,10,0,0,0,2,0,0,0,0,0,0,buggy
2,32,158,1.25,44,51,40.29747,8,1,0.181818,19,55,1.159091,139,0,buggy
1,133,4,0.181818,11,0,101.5,2,1,0.181818,4,2,0,0,0,clean
1,123,26,2.333333,6,12,73.153847,2,1,0.333333,4,14,2,22,0,clean
1,123,15,1.1,10,8,55.799999,3,1,0.3,7,11,0.8,8,0,clean
1,133,30,0.735294,34,16,54.666668,9,2,0.264706,14,25,0.470588,16,0,clean
0,126,13,1.625,8,11,35,2,1,0.25,2,13,1.375,11,0,clean
1,98,91,2,22,26,18.054945,64,4,2.909091,82,44,1.181818,9,0,clean
5,5,389,4.933333,30,134,67.480721,79,3,2.633333,228,148,4.466667,161,0,clean
2,133,10,0.173913,23,3,52.700001,3,1,0.130435,7,4,0.130435,3,0,clean
0,184,5,1,5,1,47,4,1,0.8,4,5,0.2,1,0,clean
0,133,0,0,17,0,0,0,0,0,0,0,0,0,0,clean
1,13,0,0,3,0,0,0,1,0,0,0,0,0,0,clean
2,126,95,4.666667,12,52,60.494736,42,2,3.5,49,56,4.333334,46,0,buggy
0,76,0,0,72,0,0,0,1,0,0,0,0,0,0,buggy
1,110,24,0.454545,22,4,102.875,96,1,4.363637,103,10,0.181818,-79,0,buggy
3,167,144,0.640719,167,105,96.104164,2,2,0.011976,8,107,0.628743,136,1,buggy
1,13,0,0,3,0,0,0,1,0,0,0,0,0,0,clean
11,18,336,1.170732,41,37,26.806547,157,2,3.829268,463,48,0.902439,-127,1,clean
10,84,0,0,44,0,0,0,3,0,0,0,0,0,0,buggy
5,47,0,0,33,0,0,0,3,0,0,0,0,0,0,clean
1,0,0,0,9,0,0,0,1,0,0,0,0,0,0,clean
1,196,3,0.5,6,0,115,9,1,1.5,9,3,0,-6,0,clean
13,26,190,0.60177,113,33,76.91053,35,6,0.309735,97,68,0.292035,93,0,clean
0,184,0,0,3,0,0,0,0,0,0,0,0,0,0,clean
13,33,788,2.454546,77,142,44.304569,80,3,1.038961,232,189,1.844156,556,0,buggy
0,184,0,0,3,0,0,0,0,0,0,0,0,0,0,clean
17,19,674,0.871429,140,120,73.320473,61,3,0.435714,198,122,0.857143,476,1,buggy
10,85,1314,16.545454,33,307,83.75647,440,3,13.333333,801,546,9.30303,513,0,buggy
35,121,0,0,119,0,0,0,3,0,0,0,0,0,2,buggy
2,31,68,13.666667,3,14,27.220589,41,1,13.666667,68,41,4.666667,0,0,clean
2,25,177,16.333334,9,126,4.39548,29,2,3.222222,54,147,14,123,0,clean
2,98,39,1.75,16,3,14.256411,44,3,2.75,63,28,0.1875,-24,0,clean
1,24,0,0,24,0,0,0,2,0,0,0,0,0,0,buggy
5,37,0,0,12,0,0,0,2,0,0,0,0,0,0,clean
21,41,0,0,72,0,0,0,3,0,0,0,0,0,2,clean
3,203,13,0.051282,78,1,81.153847,10,2,0.128205,24,4,0.012821,-11,0,buggy
3,123,0,0,23,0,0,0,3,0,0,0,0,0,0,clean
4,41,0,0,17,0,0,0,3,0,0,0,0,0,0,clean
3,37,0,0,12,0,0,0,2,0,0,0,0,0,0,clean
0,4,0,0,10,0,0,0,1,0,0,0,0,0,0,clean
20,49,0,0,68,0,0,0,3,0,0,0,0,0,1,clean
3,101,16,0.080537,149,0,98.25,19,2,0.127517,23,12,0,-7,0,buggy
3,133,81,1.2,50,3,88.30864,85,1,1.7,103,60,0.06,-22,0,buggy
8,130,194,2.5,38,87,43.994846,11,1,0.289474,48,95,2.289474,146,0,buggy
13,1,496,6.918367,49,339,38.887096,339,3,6.918367,464,339,6.918367,32,0,buggy
7,55,0,0,18,0,0,0,3,0,0,0,0,0,1,buggy
9,84,0,0,22,0,0,0,3,0,0,0,0,0,2,buggy
6,44,0,0,16,0,0,0,2,0,0,0,0,0,1,buggy
6,41,0,0,20,0,0,0,3,0,0,0,0,0,0,buggy
2,37,0,0,27,0,0,0,2,0,0,0,0,0,0,buggy
10,84,0,0,25,0,0,0,2,0,0,0,0,0,2,buggy
10,114,414,0.931973,294,44,95.033813,275,1,0.935374,323,274,0.14966,91,0,buggy
3,22,0,0,12,0,0,0,2,0,0,0,0,0,0,buggy
10,136,0,0,47,0,0,0,2,0,0,0,0,0,0,buggy
12,59,257,0.777778,45,35,49.155643,54,5,1.2,293,35,0.777778,-36,2,clean
9,67,427,5.95,20,101,44.967213,25,3,1.25,83,119,5.05,344,0,clean
5,133,81,1.92,25,17,83.24691,31,3,1.24,60,48,0.68,21,0,clean
5,41,17,0.785714,14,11,27.235294,25,2,1.785714,56,11,0.785714,-39,0,clean
7,103,0,0,33,0,0,0,3,0,0,0,0,0,1,clean
6,137,0,0,33,0,0,0,2,0,0,0,0,0,1,clean
5,35,0,0,12,0,0,0,2,0,0,0,0,0,0,clean
0,6,0,0,23,0,0,0,1,0,0,0,0,0,0,buggy
0,4,0,0,10,0,0,0,2,0,0,0,0,0,0,buggy
0,61,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
6,98,75,2.461539,13,24,20.666666,12,2,0.923077,26,32,1.846154,49,0,clean
8,49,0,0,23,0,0,0,2,0,0,0,0,0,2,buggy
18,80,488,3.458333,24,83,40.852459,28,4,1.166667,130,83,3.458333,358,0,clean
13,88,0,0,40,0,0,0,3,0,0,0,0,0,0,clean
15,80,373,7.6,20,151,43.563004,77,4,3.85,120,152,7.55,253,0,clean
13,80,131,2.222222,18,35,40.969467,13,4,0.722222,33,40,1.944444,98,0,clean
1,11,0,0,22,0,0,0,2,0,0,0,0,0,0,buggy
1,7,0,0,5,0,0,0,1,0,0,0,0,0,0,clean
6,99,268,2.296296,27,34,49.817165,48,4,1.777778,188,62,1.259259,80,0,clean
4,35,0,0,31,0,0,0,3,0,0,0,0,0,0,clean
3,103,0,0,25,0,0,0,2,0,0,0,0,0,0,buggy
1,3,0,0,9,0,0,0,2,0,0,0,0,0,0,clean
3,84,0,0,8,0,0,0,3,0,0,0,0,0,0,clean
0,61,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
6,84,0,0,15,0,0,0,3,0,0,0,0,0,0,buggy
9,124,0,0,60,0,0,0,3,0,0,0,0,0,0,buggy
5,103,0,0,38,0,0,0,3,0,0,0,0,0,0,buggy
1,17,0,0,10,0,0,0,1,0,0,0,0,0,0,clean
