@relation data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute metrics9 numeric
@attribute CountStmtDecl numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute CntDeclMethodDefault numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute PcntLackOfCohesion numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute CODECHURN numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute metrics39 numeric
@attribute SumCyclomaticStrict numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute AvgCyclomatic numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute REFACTORINGS numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute CountSemicolon numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
4,46,76,4,175,4,4,2,1,4,3,5,135987,899470,1596476,0.32,18,6,69,0,0,33.924,0,2,0.255814,43,4,3,2,10,3,9,15,21,96.555557,6,0,4,0.020271,99.9797,0,0,97,47,2,0,837,11,79,0,182,76,13,3,4,60,46,0,29,0.302326,17,11,3,3,6,1,29,1,0,43,0,0,0,1,0,1,7,2,8.68,0.42,7.36,20,0.232558,1,1,1,0,2,5,2,2,1,2,0,145,21,2,2,281,0,49,0,0,0,2,0,1,0,2,0,0,105,0,clean
11,24,27,1,42,49,2,2,4,51,14,25,11,18,65,0,0,12,59,8,49,31.4869,0,4,0,16,3,6,15,0,0,10,23,23,0,2,8,6,12.8336,85.956,0,1.21044,810,101,0,0,2,1,41,0,155,248,0,3,0,89,24,0,30,0,0,0,0,6,2,1,23,7,0,0,1,0,4,17,4,13,2,1,4.23,1.6,4.23,5,0,19,15,8,7,23,35,12,6,0,5,0,86,23,6,1,433,0,24,0,6,1,1,1,1,0,49,2,1,62,0,clean
1,8,14,1,103,22,1,1,1,28,7,15,526,5110,38098,0,0,10,23,0,0,31.8757,13.7128,3,0,8,11,6,9,0,2,5,3,5,0,2,2,8,0.799568,96.4745,0,2.72595,404,18,0,4,25,3,17,0,53,7,0,1,0,27,8,0,12,0,0,0,0,2,2,1,5,7,3,0,0,0,2,6,3,8,3,1,8,0.13,7,5,0,5,7,6,2,7,18,4,3,0,6,0,37,5,1,1,72,0,9,0,5,0,1,0,0,0,22,0,0,28,0,clean
1,1,8,1,38,51,77,74,74,135,8,18,17663,60526,1190390,2,4,305,6,19,670,17.228,0,2,0.133333,15,3,1,2,1,0,6,1,1,24,1,628,8,19.2434,78.2833,0,2.47332,1347,14,0,2,7.28571,2,8,1,16,12,2,3,0,6,1,0,4,0.133333,2,2,0,1,1,1,1,7,2,0,3,1,5,8,10,11,1,1,14,0.75,11,0,0.066667,22,11,7,8,24,308,15,15,2,23,0,14,1,1,1,32,0,1,0,9,0,1,0,1,0,51,0,0,12,0,buggy
20,33,104,2,2,221,378,41,39,193,59,75,873,2672,10504320,0,0,487,103,0,0,12.7301,3.67463,6,0,7,14,2,8,0,4,40,17,24,0,3,3,5,0.012361,99.985,0,0.002611,552,167,14,1,119.625,27,133,0.66,269,27,0,3,0,107,33,0,38,0,0,0,3,11,3,1,24,3,1,11.64,6,10,32,13,22,39,3,1,10.05,0.1,9.28,22,0,148,15,31,16,160,482,40,34,0,95,0,207,24,11,1,333,0,33,1,48,1,1,0,2,0,219,0,1,172,0,buggy
1,27,35,0,61,127,4,3,1,86,14,24,174063,174063,1544,0,0,32,42,8,25,23.7538,0,2,0,1,5,5,5,0,5,13,14,19,0,5,2,4,11.9983,86.977,0,1.02471,1784,64,2,3,155.25,2,37,0,103,94,0,1,0,42,27,0,33,0,0,0,0,3,5,1,19,21,2,55,3,3,5,32,12,45,5,1,4,0.91,4,19,0,38,35,38,8,45,43,21,17,0,14,0,77,19,1,1,230,0,28,1,11,0,1,1,3,0,124,1,0,49,0,clean
6,56,96,0,61,111,4,4,3,87,17,29,19390,77532,221643,0,0,31,106,15,38,17.7522,0,4,0,1,4,3,6,0,2,21,23,30,0,10,2,3,15.9142,83.0338,2,1.05202,1614,179,11,2,106.429,2,104,0.08,257,113,0,1,1,101,56,0,59,0,0,0,3,7,10,1,32,19,7,30,3,3,4,31,13,37,11,1,7.61,0.44,6.69,30,0,31,35,29,9,39,42,21,18,0,18,0,202,30,3,1,428,0,58,1,16,0,1,1,3,0,109,1,1,148,0,clean
1,58,52,1,99,15,0,1,1,20,4,13,140091,138069,0,0,0,8,39,6,21,18.8718,0,2,0,4,7,2,4,0,5,10,10,15,0,14,6,10,35.1488,60.7524,0,4.09882,231,56,4,0,0,1,52,0,108,97,0,1,0,37,58,1,28,0,0,0,0,2,14,1,38,6,0,76,0,2,1,5,5,4,14,2,13,0.9,12,14,0,2,4,5,3,3,10,4,5,0,3,0,91,15,1,1,233,0,60,0,3,0,1,0,0,0,16,0,0,63,0,clean
2,14,28,6,11,2,0,0,0,1,1,3,391831,657199,4884237,0,98,1,47,0,0,10.2619,6.46687,2,8.375,8,5,1,3,62,0,10,11,11,88.367348,4,0,5,5.24961,0,0,94.7504,8,24,9,0,165.5,7,31,0,111,48,8,1,0,47,14,0,22,1,28,67,0,2,4,1,11,1,0,81,0,0,0,1,0,0,4,1,7,0.43,7,11,7.75,0,0,0,2,0,0,1,0,70,0,0,75,11,1,1,179,0,14,0,0,0,1,0,0,0,1,0,0,61,0,buggy
2,4,1,0,3,22,1,0,0,16,9,14,34711,34708,0,1,0,10,9,0,0,4.79244,0,1,0,6,6,1,3,0,0,0,4,4,0,1,9,3,48.9362,50,0,1.06383,340,17,0,0,1,1,1,0,15,14,0,1,0,9,4,1,7,0,0,0,0,1,1,1,4,7,3,0,0,1,0,7,5,6,1,1,3,0.93,2,4,0,4,8,3,3,8,10,4,3,0,2,0,10,4,1,1,36,0,4,1,1,0,1,2,2,0,20,1,1,5,0,clean
2,10,16,5,47,17,2,1,1,26,5,7,150502,258917,2893258,0,0,14,31,2,8,31.9151,0,2,0,24,2,1,2,0,0,5,5,5,0,6,1,4,5.28833,94.2971,0,0.414523,355,74,1,8,2,2,18,0,60,12,0,3,1,31,10,1,14,0,0,0,0,2,6,2,10,11,0,80,1,1,1,6,4,6,8,2,8,0.2,7,5,0,4,7,5,3,6,13,6,6,0,5,0,47,5,1,2,86,0,12,0,3,1,2,1,2,0,15,2,1,34,0,clean
2,19,32,4,56,71,1,1,2,84,18,33,62878,62878,0,0.41,6,47,28,8,26,20.1256,0,3,0.333333,9,3,1,4,3,0,7,11,13,35,5,10,4,1.99995,97.9263,1,0.073728,1203,39,5,2,25.5,5,35,0,85,27,15,2,6,32,19,0,27,1.666667,21,3,1,3,5,1,17,22,3,63,1,2,5,27,12,13,5,1,4.82,0.32,4.82,13,0.333333,17,28,6,10,26,40,20,14,-15,17,0,60,13,2,1,130,0,19,1,7,0,1,1,1,0,70,0,2,39,0,clean
7,23,86,0,242,66,4,5,5,55,23,38,0,0,44254,0.31,1,31,45,0,0,11.8907,0,2,0.125,8,6,1,2,0,2,7,4,9,100,12,0,2,0.062111,99.9378,0,0.000114,962,61,8,7,243,2,89,0.93,145,42,1,1,0,42,23,0,33,0.125,1,1,3,5,12,1,9,15,3,13.5,1,0,3,27,10,14,14,2,9.85,0.29,8.61,9,0,16,25,7,14,22,31,18,9,0,11,0,131,9,4,2,215,0,26,0,7,0,2,1,2,0,64,1,1,107,0,clean
2,5,11,0,192,66,4,5,5,55,23,38,2358784,2314219,0,0,0,31,27,0,0,14.3144,0,2,0,5,5,1,2,0,1,6,4,5,0,1,0,2,0.062111,99.9378,0,0.000114,962,53,0,7,243,2,11,0,45,12,0,0,0,27,5,0,8,0,0,0,0,5,1,1,5,15,3,0,1,0,3,27,10,14,1,1,5.4,0.27,5.4,5,0,16,25,7,14,22,31,18,9,0,11,0,38,5,2,1,63,0,5,0,7,0,1,1,2,0,64,1,1,31,0,clean
18,126,269,19,89,66,4,5,5,55,23,38,2890419,2894839,1354,0.74,773,31,147,0,0,37.5328,0,2,4.763158,38,3,2,1,181,2,15,33,53,57.446312,9,0,2,0.062111,99.9378,8,0.000114,962,183,30,7,243,2,325,0,579,557,97,3,3,134,129,0,98,2.552632,314,181,10,10,10,1,61,15,3,16.1,1,0,3,27,10,14,10,2,10.23,0.96,9.55,53,4.763158,16,25,7,14,22,31,18,9,459,11,0,416,53,10,2,1207,0,136,0,7,0,2,1,2,0,64,1,1,291,0,clean
1,9,12,0,12,30,0,1,1,36,5,11,902895,902922,145851,0,0,16,41,1,7,8.33716,0,2,0,13,5,2,3,0,0,5,1,2,0,5,1,3,6.94925,93.015,0,0.035705,525,15,0,7,292.75,18,13,3,62,10,0,2,12,39,9,0,23,0,0,0,1,1,5,1,2,15,1,83,0,1,2,7,6,13,5,5,20,0.16,17,0,0,6,11,8,2,11,16,8,7,0,7,0,53,2,1,4,95,0,10,0,4,2,4,0,0,0,29,2,0,44,0,clean
3,19,34,0,61,124,6,7,5,122,18,30,16962,33892,1118228,0,0,42,35,33,78,88.5288,0,3,0,1,8,5,12,0,4,7,9,13,0,2,1,2,6.97984,92.9219,0,0.098217,1941,153,2,3,44,1,32,0,86,55,0,1,0,36,19,0,24,0,0,0,0,4,2,1,13,25,14,88,4,4,5,39,19,38,2,1,5,0.64,5,13,0,32,46,25,12,44,59,28,23,0,30,0,69,13,1,1,165,0,19,1,26,1,1,1,5,0,121,2,2,49,0,clean
4,21,27,9,84,12,0,1,1,14,12,17,86614,255027,12505533,1,0,7,29,15,50,12.6795,0,2,0,17,3,1,3,0,0,3,11,12,0,5,3,7,58.9893,13.9352,0,27.0755,185,25,0,27,524.5,268,28,0,76,27,0,2,0,29,21,0,15,0,0,0,1,1,5,1,20,4,0,0,0,2,0,4,1,6,6,1,6,0.36,5,11,0,2,3,5,1,4,6,4,2,0,3,0,56,12,1,1,118,0,23,0,2,1,1,1,1,0,11,1,0,34,0,clean
7,19,43,0,6,133,4,8,5,99,27,55,7,9,444750,0,0,33,56,0,0,28.4165,0,6,0,38,5,8,7,0,4,11,5,10,0,5,0,5,0.006883,99.9812,0,0.011916,379,62,0,7,198.364,52,49,0.32,125,8,0,1,2,56,19,0,25,0,0,0,1,5,5,1,12,4,6,21.25,5,4,5,43,22,45,5,2,7.1,0.06,6.45,10,0,32,50,29,15,49,60,23,14,0,18,0,99,10,4,1,158,1,20,1,21,3,1,4,6,0,127,6,1,76,1,buggy
3,17,42,2,47,59,2,1,3,58,21,55,403,6270,185121,0,0,18,36,3,13,26.0621,0,2,0,24,3,3,5,0,1,10,7,8,0,6,8,8,31.9465,66.3293,0,1.72412,696,146,3,5,271.4,10,43,0,98,10,0,3,2,36,17,0,20,0,0,0,0,4,6,1,8,10,4,31,1,3,2,22,11,16,6,2,7.11,0.1,7.11,8,0,13,23,11,9,20,30,12,9,0,13,0,78,8,2,2,128,0,17,1,8,1,2,2,2,0,57,3,1,57,0,clean
1,4,5,4,56,71,1,1,2,84,18,33,86182,88484,4279837,0,5,47,10,8,26,19.5051,0,2,0.1,10,2,1,2,1,0,2,3,4,32.400002,1,10,4,1.99995,97.9263,1,0.073728,1203,17,2,2,25.5,5,5,0,21,10,5,2,1,11,4,0,10,0.5,11,1,0,2,1,1,4,22,3,50,1,2,5,27,12,13,1,1,3,0.48,3,4,0.1,17,28,6,10,26,40,20,14,-6,17,0,15,4,1,1,41,0,4,1,7,0,1,1,1,0,70,0,2,10,0,clean
1,5,6,1,108,66,4,5,5,55,23,38,2894639,2900187,35437,0,17,31,10,0,0,34.4674,0,2,0.714286,7,3,1,1,5,0,1,5,5,101.705879,1,0,2,0.062111,99.9378,0,0.000114,962,18,2,7,243,2,6,0,22,71,8,4,0,10,5,0,9,1.142857,17,5,0,1,1,1,5,15,3,40,1,0,3,27,10,14,1,1,3,3.23,3,5,0.714286,16,25,7,14,22,31,18,9,0,11,0,16,5,1,1,102,0,5,0,7,0,1,1,2,0,64,1,1,10,0,clean
4,18,29,0,133,66,4,5,5,55,23,38,85192,336675,6729,0.11,9,31,39,0,0,90.8553,0,5,0.205882,34,5,2,3,7,8,16,4,12,108.333336,4,0,2,0.062111,99.9378,0,0.000114,962,128,1,7,243,2,32,0.11,87,46,2,1,0,37,18,0,17,0.058824,2,7,0,8,4,1,15,15,3,20,1,0,3,27,10,14,4,1,6.22,0.53,6,12,0.205882,16,25,7,14,22,31,18,9,7,11,0,68,12,3,1,149,0,18,0,7,0,1,1,2,0,64,1,1,49,0,clean
5,46,132,2,133,66,4,5,5,55,23,38,1319,5585,7413,0,166,31,76,0,0,110.211,0,5,10.1875,16,22,23,20,136,5,13,5,22,25.36747,7,0,2,0.062111,99.9378,0,0.000114,962,82,13,7,243,2,148,0,267,73,27,2,4,78,48,0,44,1.6875,30,163,12,5,7,1,34,15,3,28.33,1,0,3,27,10,14,8,2,8.93,0.27,8.27,22,8.5,16,25,7,14,22,31,18,9,136,11,0,208,22,3,2,377,0,50,0,7,0,2,1,2,0,64,1,1,165,0,clean
1,11,14,7,106,2,0,0,0,1,2,3,68870,0,0,0,91,1,21,0,0,5.94845,3.4574,2,3.166667,12,3,2,2,38,0,6,7,8,70.945053,4,1,3,99.9645,0.017438,0,0.018024,24,21,0,0,190,4,14,0,46,162,9,4,0,21,11,0,11,0.75,23,38,1,1,4,1,11,1,1,0,0,0,0,1,0,0,4,1,4,3.52,4,1,3.166667,0,1,1,0,0,0,0,1,68,0,0,35,8,1,1,215,0,11,0,1,0,1,0,0,0,1,0,0,23,0,clean
7,60,117,3,48,3,0,0,0,3,2,4,0,0,0,7.09,30,2,106,0,0,3.94058,0,2,2.125,8,6,1,2,1,2,34,15,22,17.066668,14,0,3,83.2553,16.2045,1,0.540151,45,92,11,0,1,1,153,1.54,347,383,16,2,17,126,60,0,95,2,41,17,4,5,14,1,34,2,0,40.75,0,0,0,1,0,1,14,2,18.23,1.1,11.45,20,0.125,0,2,0,0,1,2,0,0,-11,1,0,223,22,4,2,761,0,60,0,0,0,2,0,0,0,2,0,0,163,0,clean
2,35,65,3,54,3,0,0,0,3,2,4,40747,42275,4171240,0,19,2,46,0,0,35.2311,0,3,1.230769,13,10,2,7,10,2,10,15,17,39.842106,7,0,3,83.2553,16.2045,0,0.540151,45,30,1,0,1,1,82,0,166,114,6,1,0,55,41,1,28,0.461538,9,16,0,2,7,1,17,2,0,88,0,0,0,1,0,1,9,2,7,0.69,7,17,0.769231,0,2,0,0,1,2,0,0,10,1,0,111,17,1,2,302,0,46,0,0,0,2,0,0,0,2,0,0,77,0,clean
1,21,34,1,1,14,0,0,0,19,8,17,2289,8752,34502,0,0,5,32,0,0,12.5565,5.46129,2,0,2,12,4,6,0,0,5,16,16,0,2,2,8,0.05005,99.945,0,0.00495,212,29,3,0,455,14,36,0,85,14,0,1,1,31,21,0,20,0,0,0,0,1,2,1,16,4,0,67,1,1,1,3,1,7,2,1,4,0.16,4,16,0,4,3,5,1,6,10,3,2,0,4,0,66,16,1,1,119,0,21,0,3,0,1,0,1,0,14,0,1,45,0,clean
1,12,11,0,30,84,1,2,1,83,25,38,162550,162550,37903,0,0,20,20,0,0,33.1274,0,2,0,7,4,2,2,0,0,3,12,12,0,1,4,6,0.28265,99.689,0,0.028343,1239,25,5,0,321.5,8,11,0,45,12,0,1,0,21,12,0,21,0,0,0,0,1,1,1,12,10,3,76,4,4,6,22,8,29,1,1,2,0.27,2,12,0,25,28,18,1,37,43,17,13,0,15,0,31,12,1,1,78,0,12,0,16,0,1,0,1,0,83,0,0,18,0,clean
2,5,8,0,157,21,314,1,0,17,3,10,73489,291518,9538290,0,3,323,13,20,450,19.9442,0,2,0.333333,6,4,2,3,0,0,1,3,3,97,2,5,2,20.1859,79.8141,0,0,1564,72,2,44,5,1,8,0,27,10,2,1,0,13,5,0,4,0.333333,3,2,0,2,2,1,3,6,1,0,1,0,0,3,7,4,3,2,6,0.37,6,3,0,6,2,1,9,8,316,5,1,0,11,0,21,3,1,1,41,0,7,0,2,0,1,0,1,0,19,0,0,15,0,clean
13,265,281,14,99,16,2,2,1,26,7,20,2794449,2794495,148941,0.54,1269,5,225,0,0,17.6115,0,5,6.985714,70,2,7,5,164,0,11,11,13,50.272655,19,3,2,0.609847,99.3902,2,0,284,104,1,0,30,1,307,0,625,80,549,4,0,201,274,0,78,7.842857,929,489,0,7,22,1,159,5,2,4,0,1,0,6,6,3,33,3,4.87,0.13,4.87,13,2.342857,3,5,1,7,6,14,6,3,340,7,0,506,53,12,2,768,1,309,0,2,1,2,0,1,1,16,1,0,367,1,clean
4,96,161,2,133,22,26,9,5,43,4,11,442766,487173,0,0,16,43,114,0,0,51.9605,0,2,0.166667,48,5,2,4,5,0,7,2,2,92.375,18,140,5,1.76055,97.8362,0,0.403272,607,28,0,43,366,6,171,0,356,160,3,2,0,107,96,0,46,0.0625,6,8,0,2,18,2,57,7,3,0,0,1,1,9,5,4,21,3,10,0.45,10,2,0.104167,4,8,2,5,7,43,12,10,10,18,0,275,28,4,3,558,0,107,0,5,0,3,0,5,0,17,0,0,186,0,clean
1,145,228,7,82,48,22,7,7,55,12,19,150859,150918,4920858,2,386,34,160,0,0,36.4462,0,2,2.864865,37,3,1,3,78,12,19,3,26,47.803108,18,17,4,2.08561,97.7903,0,0.124062,420,39,2,4,36.25,6,243,0,493,87,162,5,0,148,145,0,53,4.378378,326,106,11,2,18,2,56,8,1,86,2,4,5,18,10,11,26,6,19,0.18,18,26,2.108108,16,17,8,9,20,35,19,17,60,20,0,388,26,1,5,596,0,174,1,11,3,5,2,3,1,46,4,2,254,1,buggy
9,90,153,7,47,22,2,3,3,28,6,13,1204,2936,29754,0.38,532,10,195,9,22,8.4423,0,4,7.25,28,4,4,6,170,2,53,36,50,28.246241,15,5,5,9.10673,90.6072,0,0.286021,90,115,5,0,4.28571,2,184,0.38,462,90,33,3,0,204,90,0,78,1.178572,100,203,12,6,15,1,60,2,1,45.8,1,3,2,9,6,8,18,1,6.99,0.19,6.06,50,6.071429,5,10,5,4,10,12,8,7,432,8,1,348,50,5,1,613,1,95,1,4,3,1,3,2,0,20,4,1,261,1,buggy
2,9,10,0,10,14,0,0,0,10,6,10,1364223,1368186,257202,0,0,6,26,0,0,20.7067,0,3,0,16,8,6,4,0,0,6,5,6,0,3,3,5,20.6096,77.7939,0,1.59652,190,24,0,8,0,1,10,0,48,10,0,1,1,28,9,0,12,0,0,0,1,3,3,1,6,6,0,83,0,0,0,3,1,8,3,1,5,0.21,5,6,0,1,4,4,1,5,4,4,1,0,1,0,36,6,1,1,70,0,9,0,0,0,1,0,0,0,13,0,0,27,0,clean
1,3,9,0,209,15,0,1,0,18,7,15,0,0,6391167,0,8,8,11,0,0,3.78584,0.373875,2,0.090909,22,3,1,2,1,0,2,3,3,94.25,1,1,3,0.068195,99.9025,0,0.029356,115,16,0,20,168.5,9,9,0,24,11,2,1,0,11,3,0,5,0.090909,7,2,0,2,1,1,3,3,2,0,2,0,0,5,1,2,1,1,5,0.46,5,2,0.045455,7,6,1,2,6,12,1,2,1,5,0,20,3,1,1,40,0,3,1,2,1,1,1,1,1,13,1,0,16,0,buggy
