@relation 'data/final_7030.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R4-5,17,25-26,30,35,53-54,60-62,83,92,108-weka.filters.unsupervised.attribute.Remove-R4-13,15,17-24,30-33,35-36,39-41,56-57,59-64,71-80,86,88-90,92-96,98'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
2,19,32,0.41,28,0,7,11,13,5,1,39,5,35,0,85,31,6,32,19,0,27,1,3,5,1,17,63,5,1,4.82,0.36,4.82,13,60,13,2,1,134,19,1,39,clean
7,23,86,0.31,45,2,7,4,9,12,0,61,8,89,0.93,145,42,0,42,23,0,33,3,5,12,1,9,13.5,14,2,9.85,0.29,8.61,9,131,9,4,2,215,26,2,107,clean
2,5,11,0,27,1,6,4,5,1,0,53,0,11,0,45,12,0,27,5,0,8,0,5,1,1,5,0,1,1,5.4,0.27,5.4,5,38,5,2,1,63,5,1,31,clean
18,127,274,0.74,149,2,15,33,53,9,8,183,31,330,0,587,566,3,136,130,0,99,10,10,10,1,61,16.1,10,2,10.49,0.96,9.55,53,423,53,10,2,1226,137,2,297,clean
2,8,12,0,35,0,4,2,5,3,0,18,0,12,0,70,26,0,41,8,0,12,3,1,3,1,5,0,3,1,10,0.37,9,5,47,5,1,1,108,8,1,38,clean
1,20,35,0,20,0,4,15,16,2,1,29,1,39,0,80,38,0,20,20,0,24,0,1,2,1,16,6,2,1,4,0.47,4,16,55,16,1,1,142,20,1,34,clean
1,9,12,2,38,0,6,1,2,5,0,15,0,14,2,59,28,12,35,9,0,21,1,1,5,1,2,83,5,5,19,0.47,17,0,50,2,1,4,93,10,4,37,clean
1,18,42,0,35,2,10,3,7,4,0,177,1,48,1,108,46,2,40,18,0,21,2,5,4,1,7,61,6,3,12,0.43,11,7,77,7,1,2,173,23,2,57,clean
3,19,34,0,35,4,7,9,13,2,0,153,2,32,0,86,55,0,36,19,0,24,0,4,2,1,13,88,2,1,5,0.64,5,13,69,13,1,1,165,19,1,49,clean
4,15,17,0,29,0,6,9,10,3,0,23,0,18,0,63,18,0,30,15,0,13,1,1,3,1,14,0,4,1,4,0.29,4,10,46,10,1,1,94,16,1,30,clean
1,1,2,0,132,0,2,1,1,1,0,14,0,2,0,138,12,128,133,1,0,132,0,2,1,1,1,99,1,1,3,0.09,3,0,134,1,1,1,281,1,1,132,clean
1,4,6,0,11,1,2,1,2,3,0,24,0,6,0,23,14,0,13,4,0,5,0,4,3,2,4,0,3,2,7,0.61,7,2,17,2,1,2,42,4,2,12,clean
7,25,54,0,63,4,27,6,12,6,0,97,0,64,0.57,155,15,0,65,25,0,23,2,7,6,1,14,0,6,2,9.38,0.1,8.81,12,117,12,4,2,191,27,2,88,clean
1,10,22,0,79,0,7,3,4,3,0,17,0,30,0,122,88,63,81,14,0,77,1,1,7,3,12,99,7,3,11,0.72,11,0,101,4,1,2,225,14,3,90,clean
3,20,49,0,38,0,12,7,8,6,0,146,3,50,0,109,17,1,37,20,0,22,1,4,6,1,11,27.5,6,2,8.65,0.16,8.14,8,87,8,2,2,147,20,2,64,clean
1,4,5,0,10,0,2,3,4,1,1,17,2,5,0,21,14,1,11,4,0,10,0,2,1,1,4,50,1,1,3,0.67,3,4,15,4,1,1,45,4,1,10,clean
2,21,64,0,54,2,7,5,10,7,0,36,12,65,0.61,149,131,2,66,21,1,38,3,3,7,1,10,35,7,2,9.44,0.88,8.83,10,118,10,2,2,312,22,2,100,clean
1,5,6,0,10,0,1,5,5,1,0,18,2,6,0,22,71,0,10,5,0,9,0,1,1,1,5,40,1,1,3,3.23,3,5,16,5,1,1,102,5,1,10,clean
