@relation 'data/final_7030.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-3,6-16,18-24,27-29,31-34,36-52,55-59,63-82,84-91,93-107,109-113'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
4,29,22,3.2,5,3,27,13,2,2.6,20,16,0.6,2,0,clean
6,29,42,2.625,8,10,20.880953,11,2,1.375,18,21,1.25,24,0,clean
5,29,27,2.428572,7,4,23.962963,13,2,1.857143,23,17,0.571429,4,0,clean
2,29,21,5,4,8,28,12,1,3,13,20,2,8,0,clean
0,261,8,0.090909,22,1,146.625,2,1,0.090909,7,2,0.045455,1,1,buggy
3,29,14,2.6,5,1,27.214285,12,2,2.4,13,13,0.2,1,0,clean
0,4,18,4.333334,3,0,2.722222,31,1,10.333333,42,13,0,-24,0,clean
2,39,77,7.2,5,36,34.714287,4,1,0.8,5,36,7.2,72,1,clean
4,47,0,0,21,0,0,0,3,0,0,0,0,0,0,buggy
1,66,39,13,3,24,54,15,1,5,15,39,8,24,0,clean
5,1,35,1.272727,11,8,41.342857,44,2,4,58,14,0.727273,-23,0,clean
9,26,142,3.333333,18,43,43.450703,17,4,0.944444,39,60,2.388889,103,0,buggy
1,278,11,0.153846,39,0,115,23,1,0.589744,28,6,0,-17,0,clean
6,46,593,2.442308,104,162,62.178753,142,5,1.365385,420,254,1.557692,173,1,clean
7,143,229,3.588235,17,52,118.593887,65,4,3.82353,150,61,3.058824,79,0,clean
4,51,0,0,13,0,0,0,3,0,0,0,0,0,0,clean
5,85,38,0.070313,128,8,108.868424,23,2,0.179688,31,9,0.0625,7,0,clean
15,119,516,2.970588,34,55,152.68605,102,2,3,264,101,1.617647,252,1,clean
23,35,824,2.615385,65,162,44.782768,30,6,0.461538,212,170,2.492308,612,0,clean
4,40,0,0,8,0,0,0,3,0,0,0,0,0,0,clean
3,20,0,0,14,0,0,0,3,0,0,0,0,0,0,clean
10,47,594,7.724138,29,165,94.74411,158,4,5.448276,340,224,5.689655,254,0,clean
61,69,2304,2.495727,117,96,63.214409,280,5,2.393163,676,292,0.820513,1628,0,clean
1,24,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
10,24,295,2.95,20,29,37.400002,95,3,4.75,225,59,1.45,70,2,clean
2,8,3,0.222222,9,0,161.333328,2,1,0.222222,3,2,0,0,0,clean
2,129,95,14,4,39,48.294735,17,2,4.25,27,56,9.75,68,0,clean
2,24,21,10.5,2,15,24,6,1,3,6,21,7.5,15,0,clean
6,204,328,4.580645,31,140,133.082321,21,4,0.677419,78,142,4.516129,250,0,clean
0,177,0,0,2,0,0,0,0,0,0,0,0,0,0,clean
11,94,0,0,30,0,0,0,3,0,0,0,0,0,0,clean
0,210,0,0,15,0,0,0,0,0,0,0,0,0,0,clean
5,34,398,13.3,10,129,28.201006,15,2,1.5,21,133,12.9,377,0,clean
5,173,16,0.625,8,1,74.875,5,5,0.625,15,5,0.125,1,0,clean
3,211,140,16.375,8,129,100.435715,2,2,0.25,5,131,16.125,135,0,clean
7,26,231,7.090909,11,59,49.887447,244,4,22.181818,276,78,5.363637,-45,0,clean
0,185,0,0,24,0,0,0,0,0,0,0,0,0,0,clean
9,77,480,2.732143,56,153,43.106251,49,6,0.875,136,153,2.732143,344,0,clean
12,52,415,2.541667,24,58,99.843376,41,3,1.708333,270,61,2.416667,145,0,clean
2,76,0,0,3,0,0,0,3,0,0,0,0,0,0,clean
3,114,45,0.846154,13,8,86.288887,3,4,0.230769,7,11,0.615385,38,0,clean
4,87,0,0,10,0,0,0,2,0,0,0,0,0,0,clean
