@relation 'data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,101,103-105,107-108,110-112,114-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,11,14,0,21,0,6,7,8,4,0,21,0,14,0,46,162,0,21,11,0,11,1,1,4,1,11,0,4,1,4,3.52,4,1,35,8,1,1,215,11,1,23,clean
7,60,117,7.09,106,2,34,15,22,14,1,92,11,153,1.54,347,383,17,126,60,0,95,4,5,14,1,34,40.75,14,2,18.23,1.1,11.45,20,223,22,4,2,761,60,2,163,clean
2,35,65,0,46,2,10,15,17,7,0,30,1,82,0,166,114,0,55,41,1,28,0,2,7,1,17,88,9,2,7,0.69,7,17,111,17,1,2,302,46,2,77,clean
1,21,34,0,32,0,5,16,16,2,0,29,3,36,0,85,14,1,31,21,0,20,0,1,2,1,16,67,2,1,4,0.16,4,16,66,16,1,1,119,21,1,45,clean
1,12,11,0,20,0,3,12,12,1,0,25,5,11,0,45,12,0,21,12,0,21,0,1,1,1,12,76,1,1,2,0.27,2,12,31,12,1,1,78,12,1,18,clean
2,5,8,0,13,0,1,3,3,2,0,72,2,8,0,27,10,0,13,5,0,4,0,2,2,1,3,0,3,2,6,0.37,6,3,21,3,1,1,41,7,1,15,clean
13,265,281,0.54,225,0,11,11,13,19,2,104,1,307,0,625,80,0,201,274,0,78,0,7,22,1,159,4,33,3,4.87,0.13,4.87,13,506,53,12,2,768,309,2,367,clean
4,96,161,0,114,0,7,2,2,18,0,28,0,171,0,356,160,0,107,96,0,46,0,2,18,2,57,0,21,3,10,0.45,10,2,275,28,4,3,558,107,3,186,clean
1,145,228,2,160,12,19,3,26,18,0,39,2,243,0,493,87,0,148,145,0,53,11,2,18,2,56,86,26,6,19,0.18,18,26,388,26,1,5,596,174,5,254,buggy
9,90,153,0.38,195,2,53,36,50,15,0,115,5,184,0.38,462,90,0,204,90,0,78,12,6,15,1,60,45.8,18,1,6.99,0.19,6.06,50,348,50,5,1,613,95,1,261,buggy
2,9,10,0,26,0,6,5,6,3,0,24,0,10,0,48,10,1,28,9,0,12,1,3,3,1,6,83,3,1,5,0.21,5,6,36,6,1,1,70,9,1,27,clean
1,3,9,0,11,0,2,3,3,1,0,16,0,9,0,24,11,0,11,3,0,5,0,2,1,1,3,0,1,1,5,0.46,5,2,20,3,1,1,40,3,1,16,buggy
1,9,14,0,23,0,6,2,3,6,0,72,1,16,0,48,24,0,23,9,0,9,1,2,6,1,3,33,6,3,12,0.5,12,3,37,3,1,3,79,9,3,27,clean
6,19,47,0,38,0,6,11,12,4,0,51,7,51,0,112,21,0,41,19,0,26,1,4,4,1,12,26.67,4,1,6.35,0.19,5.9,12,85,12,3,1,158,19,1,65,buggy
22,202,305,0.19,182,0,21,15,15,17,0,171,2,338,0,579,37,0,150,202,0,84,0,14,17,1,117,2.75,20,2,4.99,0.06,4.9,15,487,53,19,1,689,222,1,396,clean
2,81,152,0,123,4,23,20,34,11,0,78,15,170,0,348,47,3,117,85,1,61,10,3,11,1,48,70.5,11,2,7.92,0.14,7.1,34,275,34,2,2,441,86,2,200,buggy
1,30,56,1,30,0,9,7,7,22,0,34,2,65,0,115,22,2,32,30,0,20,0,2,22,1,7,75,34,6,17,0.19,14,5,86,7,1,4,157,42,4,55,clean
