@relation 'data/final_5050.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,101,103-105,107-108,110-112,114-weka.filters.unsupervised.attribute.Remove-R53'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute CountStmtDecl numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute REFACTORINGS numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
3,19,34,0,61,0,0,35,0,1,0,4,7,9,13,0,2,0,153,2,32,0,86,55,0,1,0,36,19,0,24,0,0,0,0,4,2,1,13,88,2,1,5,0.64,5,13,0,0,69,13,1,1,165,19,1,0,49,clean
4,21,27,9,84,1,0,29,0,17,0,0,3,11,12,0,5,0,25,0,28,0,76,27,0,2,0,29,21,0,15,0,0,0,1,1,5,1,20,0,6,1,6,0.36,5,11,0,0,56,12,1,1,118,23,1,0,34,clean
7,19,43,0,6,0,0,56,0,38,0,4,11,5,10,0,5,0,62,0,49,0.32,125,8,0,1,2,56,19,0,25,0,0,0,1,5,5,1,12,21.25,5,2,7.1,0.06,6.45,10,0,0,99,10,4,1,158,20,1,0,76,buggy
3,17,42,2,47,0,0,36,0,24,0,1,10,7,8,0,6,0,146,3,43,0,98,10,0,3,2,36,17,0,20,0,0,0,0,4,6,1,8,31,6,2,7.11,0.1,7.11,8,0,0,78,8,2,2,128,17,2,0,57,clean
1,4,5,4,56,0,5,10,0.1,10,1,0,2,3,4,32.400002,1,1,17,2,5,0,21,10,5,2,1,11,4,0,10,0.5,11,1,0,2,1,1,4,50,1,1,3,0.48,3,4,0.1,-6,15,4,1,1,41,4,1,0,10,clean
1,5,6,1,108,0,17,10,0.714286,7,5,0,1,5,5,101.705879,1,0,18,2,6,0,22,71,8,4,0,10,5,0,9,1.142857,17,5,0,1,1,1,5,40,1,1,3,3.23,3,5,0.714286,0,16,5,1,1,102,5,1,0,10,clean
4,18,29,0,133,0.11,9,39,0.205882,34,7,8,16,4,12,108.333336,4,0,128,1,32,0.11,87,46,2,1,0,37,18,0,17,0.058824,2,7,0,8,4,1,15,20,4,1,6.22,0.53,6,12,0.205882,7,68,12,3,1,149,18,1,0,49,clean
5,46,132,2,133,0,166,76,10.1875,16,136,5,13,5,22,25.36747,7,0,82,13,148,0,267,73,27,2,4,78,48,0,44,1.6875,30,163,12,5,7,1,34,28.33,8,2,8.93,0.27,8.27,22,8.5,136,208,22,3,2,377,50,2,0,165,clean
1,11,14,7,106,0,91,21,3.166667,12,38,0,6,7,8,70.945053,4,0,21,0,14,0,46,162,9,4,0,21,11,0,11,0.75,23,38,1,1,4,1,11,0,4,1,4,3.52,4,1,3.166667,68,35,8,1,1,215,11,1,0,23,clean
7,60,117,3,48,7.09,30,106,2.125,8,1,2,34,15,22,17.066668,14,1,92,11,153,1.54,347,383,16,2,17,126,60,0,95,2,41,17,4,5,14,1,34,40.75,14,2,18.23,1.1,11.45,20,0.125,-11,223,22,4,2,761,60,2,0,163,clean
2,35,65,3,54,0,19,46,1.230769,13,10,2,10,15,17,39.842106,7,0,30,1,82,0,166,114,6,1,0,55,41,1,28,0.461538,9,16,0,2,7,1,17,88,9,2,7,0.69,7,17,0.769231,10,111,17,1,2,302,46,2,0,77,clean
1,21,34,1,1,0,0,32,0,2,0,0,5,16,16,0,2,0,29,3,36,0,85,14,0,1,1,31,21,0,20,0,0,0,0,1,2,1,16,67,2,1,4,0.16,4,16,0,0,66,16,1,1,119,21,1,0,45,clean
1,12,11,0,30,0,0,20,0,7,0,0,3,12,12,0,1,0,25,5,11,0,45,12,0,1,0,21,12,0,21,0,0,0,0,1,1,1,12,76,1,1,2,0.27,2,12,0,0,31,12,1,1,78,12,1,0,18,clean
2,5,8,0,157,0,3,13,0.333333,6,0,0,1,3,3,97,2,0,72,2,8,0,27,10,2,1,0,13,5,0,4,0.333333,3,2,0,2,2,1,3,0,3,2,6,0.37,6,3,0,0,21,3,1,1,41,7,1,0,15,clean
13,265,281,14,99,0.54,1269,225,6.985714,70,164,0,11,11,13,50.272655,19,2,104,1,307,0,625,80,549,4,0,201,274,0,78,7.842857,929,489,0,7,22,1,159,4,33,3,4.87,0.13,4.87,13,2.342857,340,506,53,12,2,768,309,2,1,367,clean
4,96,161,2,133,0,16,114,0.166667,48,5,0,7,2,2,92.375,18,0,28,0,171,0,356,160,3,2,0,107,96,0,46,0.0625,6,8,0,2,18,2,57,0,21,3,10,0.45,10,2,0.104167,10,275,28,4,3,558,107,3,0,186,clean
1,145,228,7,82,2,386,160,2.864865,37,78,12,19,3,26,47.803108,18,0,39,2,243,0,493,87,162,5,0,148,145,0,53,4.378378,326,106,11,2,18,2,56,86,26,6,19,0.18,18,26,2.108108,60,388,26,1,5,596,174,5,1,254,buggy
9,90,153,7,47,0.38,532,195,7.25,28,170,2,53,36,50,28.246241,15,0,115,5,184,0.38,462,90,33,3,0,204,90,0,78,1.178572,100,203,12,6,15,1,60,45.8,18,1,6.99,0.19,6.06,50,6.071429,432,348,50,5,1,613,95,1,0,261,buggy
2,9,10,0,10,0,0,26,0,16,0,0,6,5,6,0,3,0,24,0,10,0,48,10,0,1,1,28,9,0,12,0,0,0,1,3,3,1,6,83,3,1,5,0.21,5,6,0,0,36,6,1,1,70,9,1,0,27,clean
1,3,9,0,209,0,8,11,0.090909,22,1,0,2,3,3,94.25,1,0,16,0,9,0,24,11,2,1,0,11,3,0,5,0.090909,7,2,0,2,1,1,3,0,1,1,5,0.46,5,2,0.045455,1,20,3,1,1,40,3,1,1,16,buggy
1,9,14,1,13,0,39,23,13,3,24,0,6,2,3,2,6,0,72,1,16,0,48,24,15,1,0,23,9,0,9,5,15,39,1,2,6,1,3,33,6,3,12,0.5,12,3,8,24,37,3,1,3,79,9,3,0,27,clean
6,19,47,5,78,0,27,38,0.555556,18,9,0,6,11,12,51.666668,4,0,51,7,51,0,112,21,4,4,0,41,19,0,26,0.222222,8,10,1,4,4,1,12,26.67,4,1,6.35,0.19,5.9,12,0.5,19,85,12,3,1,158,19,1,0,65,buggy
22,202,305,4,98,0.19,483,182,2.442308,104,162,0,21,15,15,21.10145,17,0,171,2,338,0,579,37,142,4,0,150,202,0,84,1.365385,261,254,0,14,17,1,117,2.75,20,2,4.99,0.06,4.9,15,1.557692,222,487,53,19,1,689,222,1,0,396,clean
2,81,152,6,91,0,217,123,3.588235,17,52,4,23,20,34,72.235024,11,0,78,15,170,0,348,47,65,3,3,117,85,1,61,3.82353,119,61,10,3,11,1,48,70.5,11,2,7.92,0.14,7.1,34,3.058824,98,275,34,2,2,441,86,2,0,200,buggy
1,30,56,3,103,1,0,30,0,13,0,0,9,7,7,0,22,0,34,2,65,0,115,22,0,2,2,32,30,0,20,0,0,0,0,2,22,1,7,75,34,6,17,0.19,14,5,0,0,86,7,1,4,157,42,4,0,55,clean
8,106,198,5,33,1.97,38,96,0.070313,128,8,2,27,36,41,56.736843,10,0,115,0,223,0.73,404,191,23,2,2,92,109,0,56,0.179688,31,9,3,5,12,1,58,24.25,12,2,17.97,0.47,14.63,41,0.0625,7,294,41,4,2,633,119,2,0,188,clean
1,55,118,15,67,1,516,85,2.970588,34,55,0,10,14,16,100.637596,19,0,29,9,126,1,252,53,102,2,3,78,55,0,45,3,264,101,2,2,19,1,28,81,21,3,16,0.21,13,16,1.617647,252,203,16,1,3,350,62,3,1,154,clean
7,55,458,44,121,0,1406,324,0.820513,117,96,7,17,39,48,39.799431,2,0,100,2,507,0.58,977,161,63,3,1,339,55,0,150,0.538462,281,96,2,5,2,1,48,9.75,3,1,14.58,0.16,13.42,47,0.820513,1125,782,48,4,1,1288,56,1,0,683,clean
7,83,161,8,99,2.03,552,99,7.724138,29,165,1,26,7,18,48.643116,14,0,70,9,167,0.34,331,58,158,4,2,99,83,0,45,5.448276,319,224,10,5,14,1,29,20,18,5,13.86,0.18,12.6,18,5.689655,233,260,18,4,4,411,92,4,0,174,clean
5,11,16,6,76,0,29,24,0.55,20,9,3,0,7,10,30.896551,2,0,49,1,25,0.86,59,52,19,3,0,23,11,0,11,0.95,28,11,0,4,2,1,10,20,2,1,10.49,0.88,9.63,10,0.45,1,40,10,3,1,121,11,1,0,28,clean
4,23,39,2,60,0,3,40,0.222222,9,0,0,4,11,12,109.333336,5,0,51,3,43,0.27,124,83,2,1,1,40,24,0,17,0.222222,3,2,1,3,6,1,12,30,6,2,12.14,0.67,11.49,11,0,0,79,12,3,1,224,24,2,0,55,clean
3,97,239,1,77,20.03,39,106,7.5,4,29,3,58,22,25,2.461539,16,0,64,0,266,20.84,488,1165,9,2,2,102,97,0,217,2.25,10,30,0,3,16,1,36,28.67,22,4,79.91,2.39,39.91,0,7.25,29,345,25,3,3,1866,110,3,0,252,clean
4,29,77,4,151,6.5,275,55,4.580645,31,140,0,29,3,7,100.130913,12,0,48,0,102,6.81,190,146,12,3,3,63,29,1,68,0.387097,35,142,4,6,12,2,14,16.67,13,4,36.75,0.77,24.92,7,4.516129,240,132,7,3,4,386,31,4,0,103,clean
1,8,15,4,41,0,0,21,0,30,0,0,4,2,3,0,5,0,72,1,17,0,48,12,0,3,2,22,8,0,10,0,0,0,1,2,5,1,3,55,6,3,10,0.25,10,3,0,0,36,3,1,2,70,11,2,0,26,buggy
1,1,1,0,124,0,0,5,0,2,0,0,0,1,1,0,1,0,14,0,1,0,7,24,0,0,1,5,1,0,6,0,0,0,0,2,1,1,1,100,1,1,3,3.43,3,1,0,0,6,1,1,1,37,1,1,0,4,clean
7,15,33,1,18,0,0,35,0,10,0,4,7,8,12,0,2,0,64,3,43,0,92,12,0,1,0,33,15,0,16,0,0,0,0,5,2,1,12,13.75,2,1,4.72,0.13,4.72,12,0,0,68,12,4,1,118,15,1,0,52,clean
