@relation 'data/final_8020_regression.csv-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R100-weka.filters.unsupervised.attribute.Remove-R115-weka.filters.unsupervised.attribute.Remove-R1-3,7-17,19-25,28-30,32-35,37-53,56-60,64-83,85-92,94-108,110-114'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute postbugs numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric

@data
10,128,0,0,0,23,0,0,0,2,0,0,0,0,0,4
3,72,0,41,3.714286,7,2,62.365852,30,1,4.285714,44,26,0.285714,-3,0
4,128,0,0,0,10,0,0,0,2,0,0,0,0,0,1
8,118,0,0,0,15,0,0,0,3,0,0,0,0,0,1
7,118,0,0,0,11,0,0,0,2,0,0,0,0,0,1
8,116,0,56,0.75,16,3,69.053574,18,2,1.125,66,12,0.1875,-10,1
0,30,0,7,1,4,4,17,3,1,0.75,3,4,1,4,0
9,24,0,0,0,31,0,0,0,4,0,0,0,0,0,1
11,53,0,0,0,21,0,0,0,3,0,0,0,0,0,2
6,5,0,0,0,11,0,0,0,2,0,0,0,0,0,0
16,53,0,0,0,37,0,0,0,3,0,0,0,0,0,0
5,132,0,0,0,8,0,0,0,1,0,0,0,0,0,0
4,56,0,26,3.333333,6,4,53.576923,17,2,2.833333,19,20,0.666667,7,0
1,71,0,0,0,5,0,0,0,1,0,0,0,0,0,0
5,102,0,0,0,8,0,0,0,2,0,0,0,0,0,0
7,113,3,0,0,15,0,0,0,2,0,0,0,0,0,0
18,21,5,0,0,56,0,0,0,5,0,0,0,0,0,0
13,56,0,172,2.473684,19,31,38.279068,77,2,4.052631,207,47,1.631579,-35,1
78,50,3,0,0,169,0,0,0,4,0,0,0,0,0,2
3,70,0,40,6.25,4,21,29.25,6,1,1.5,13,25,5.25,27,0
18,3,0,0,0,45,0,0,0,2,0,0,0,0,0,0
3,70,0,0,0,5,0,0,0,2,0,0,0,0,0,0
5,254,0,25,0.255814,43,10,146.759995,13,3,0.302326,22,11,0.232558,3,0
9,117,0,15,0.133333,15,2,64.666664,2,4,0.133333,10,2,0.133333,5,0
4,55,0,20,4.5,4,16,21.549999,2,2,0.5,4,18,4,16,0
3,76,0,28,1.428572,7,10,49.035713,13,3,1.857143,25,10,1.428572,3,0
0,140,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,140,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,178,0,0,0,4,0,0,0,1,0,0,0,0,0,0
6,90,0,98,8.375,8,62,167.346939,8,1,1,28,67,7.75,70,0
17,56,1,452,6.944445,36,26,47.181416,253,2,7.027778,306,250,0.722222,146,0
7,63,0,0,0,10,0,0,0,2,0,0,0,0,0,0
23,2,1,0,0,72,0,0,0,2,0,0,0,0,0,1
6,85,1,0,0,15,0,0,0,2,0,0,0,0,0,0
1,71,0,0,0,4,0,0,0,1,0,0,0,0,0,0
22,163,0,0,0,44,0,0,0,3,0,0,0,0,0,0
18,81,1,0,0,40,0,0,0,2,0,0,0,0,0,0
4,51,1,0,0,17,0,0,0,2,0,0,0,0,0,1
14,126,0,0,0,33,0,0,0,3,0,0,0,0,0,0
2,186,0,74,4.142857,7,14,71.972977,16,4,2.285714,31,29,2,43,0
11,126,0,0,0,24,0,0,0,3,0,0,0,0,0,0
5,56,1,50,5.5,8,42,25.32,3,2,0.375,8,44,5.25,42,0
6,36,0,151,11.285714,7,77,44.814571,19,1,2.714286,42,79,11,109,0
3,56,0,8,0.6,5,0,40.375,4,2,0.8,9,3,0,-1,0
0,14,1,0,0,10,0,0,0,1,0,0,0,0,0,0
4,56,0,16,1.4,5,3,42.5,6,2,1.2,12,7,0.6,4,0
6,135,0,13,0.555556,9,4,81.07692,15,2,1.666667,24,5,0.444444,-11,0
2,275,0,8,0.5,6,0,100.25,9,2,1.5,14,3,0,-6,0
18,52,0,270,0.60177,113,33,121.699997,35,8,0.309735,129,68,0.292035,141,0
0,262,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,262,0,0,0,3,0,0,0,0,0,0,0,0,0,0
20,98,4,752,0.871429,140,120,140.50798,61,3,0.435714,231,122,0.857143,521,1
13,164,0,1349,16.545454,33,307,159.885101,440,3,13.333333,821,546,9.30303,528,0
59,42,0,0,0,119,0,0,0,3,0,0,0,0,0,3
6,135,0,13,0.5,10,4,77.846153,5,2,0.5,15,5,0.4,-2,0
1,305,0,43,0.674419,43,19,152.41861,10,2,0.232558,22,29,0.44186,21,0
8,185,0,159,3.75,12,45,97.742142,20,5,1.666667,48,45,3.75,111,0
1,434,0,25,0.428571,28,11,130.160004,3,2,0.107143,10,12,0.392857,15,0
9,9,0,180,2.225807,31,36,29.616667,48,5,1.548387,124,69,1.16129,56,1
7,205,0,70,0.235294,51,10,108.314285,18,4,0.352941,75,12,0.196078,-5,0
5,14,0,60,0.730769,26,8,46.950001,15,5,0.576923,43,19,0.307692,17,1
7,7,0,33,0.194444,36,2,33.18182,6,6,0.166667,28,7,0.055556,5,0
15,36,0,1030,5.027778,36,73,76.076698,198,4,5.5,780,181,2.027778,250,1
2,77,0,2,1,2,1,47,1,1,0.5,1,2,0.5,1,0
2,72,0,5,1.333333,3,3,48.400002,1,2,0.333333,1,4,1,4,0
3,64,0,0,0,8,0,0,0,2,0,0,0,0,0,0
9,24,0,0,0,23,0,0,0,2,0,0,0,0,0,0
24,77,0,1156,7.204082,49,339,89.891869,339,3,6.918367,946,353,6.918367,210,1
8,13,0,329,6.382353,34,205,16.252279,43,2,1.264706,80,217,6.029412,249,0
9,120,0,41,0.785714,14,11,79.414635,25,2,1.785714,64,11,0.785714,-23,0
1,43,0,10,1.666667,6,0,1,11,1,1.833333,11,10,0,-1,0
5,56,0,70,7.4,5,10,41.514286,37,2,7.4,54,37,2,16,0
4,56,0,22,3.2,5,3,53,13,2,2.6,20,16,0.6,2,0
6,56,0,42,2.625,8,10,47.07143,11,2,1.375,18,21,1.25,24,0
5,56,0,27,2.428572,7,4,50.037037,13,2,1.857143,23,17,0.571429,4,0
2,56,0,21,5,4,8,54,12,1,3,13,20,2,8,0
7,90,1,0,0,22,0,0,0,2,0,0,0,0,0,0
7,2,0,0,0,39,0,0,0,3,0,0,0,0,0,0
8,114,0,0,0,31,0,0,0,3,0,0,0,0,0,0
12,24,1,0,0,25,0,0,0,3,0,0,0,0,0,0
5,81,0,0,0,9,0,0,0,3,0,0,0,0,0,0
2,24,0,4,2,2,4,21,0,1,0,0,4,2,4,0
5,112,0,38,0.070313,128,8,135.710526,23,2,0.179688,31,9,0.0625,7,0
4,24,0,42,5,5,14,21,28,1,5.6,41,25,2.8,1,0
15,146,0,516,2.970588,34,55,179.449616,102,2,3,264,101,1.617647,252,1
3,18,0,15,0.666667,9,4,52.066666,2,2,0.222222,7,6,0.444444,8,0
2,155,0,95,14,4,39,75.294739,17,2,4.25,27,56,9.75,68,0
7,230,0,330,4.580645,31,140,159.142426,21,4,0.677419,80,142,4.516129,250,0
0,203,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,237,0,0,0,15,0,0,0,0,0,0,0,0,0,0
5,199,0,16,0.625,8,1,101.6875,5,5,0.625,15,5,0.125,1,0
3,238,0,140,16.375,8,129,126.5,2,2,0.25,5,131,16.125,135,0
4,81,0,0,0,6,0,0,0,3,0,0,0,0,0,0
33,21,4,0,0,66,0,0,0,4,0,0,0,0,0,0
2,59,0,16,4.666667,3,1,33.375,79,1,26.333334,80,14,0.333333,-64,0
4,66,0,58,7,5,32,38.258621,9,1,1.8,25,35,6.4,33,0
2,59,0,64,18,3,0,54.78125,115,1,38.333332,135,54,0,-71,0
4,56,0,16,2.5,4,0,34.3125,21,1,5.25,28,10,0,-12,0
2,57,0,25,12.5,2,0,32,30,1,15,30,25,0,-5,0
8,239,0,170,6,15,21,148.00589,108,3,7.2,156,90,1.4,14,0
7,127,0,66,1.818182,11,18,77.590912,9,2,0.818182,37,20,1.636364,29,0
8,192,0,245,5.111111,18,23,86.265305,103,3,5.722222,260,92,1.277778,-15,0
17,95,0,1470,12.108109,37,316,157.253067,132,6,3.567568,395,448,8.540541,1075,0
52,83,0,3380,7.206185,97,298,130.314194,407,11,4.195876,2018,699,3.072165,1362,0
50,6,0,2291,3.602273,88,297,87.596245,297,5,3.375,1921,317,3.375,370,0
2,122,0,121,18,4,64,121.190086,14,1,3.5,22,72,16,99,0
8,1,0,0,0,30,0,0,0,3,0,0,0,0,0,1
42,113,1,0,0,90,0,0,0,3,0,0,0,0,0,2
