@relation 'data/final_8020_mylyn.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-3,6-16,18-24,27-29,31-34,36-52,55-59,63-82,84-91,93-107,109-113'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
6,72,0,0,9,0,0,0,2,0,0,0,0,0,0,clean
4,56,155,6,9,53,34.341934,22,2,2.444444,45,54,5.888889,110,0,clean
9,177,0,0,31,0,0,0,2,0,0,0,0,0,1,clean
23,24,149,0.244444,90,5,137.167786,33,5,0.366667,169,22,0.055556,-20,3,clean
21,24,0,0,62,0,0,0,2,0,0,0,0,0,2,clean
2,69,0,0,7,0,0,0,2,0,0,0,0,0,0,clean
6,72,0,0,7,0,0,0,3,0,0,0,0,0,1,clean
12,24,0,0,42,0,0,0,3,0,0,0,0,0,1,buggy
14,72,0,0,24,0,0,0,3,0,0,0,0,0,2,clean
9,126,0,0,22,0,0,0,3,0,0,0,0,0,0,clean
0,31,1,0.5,2,0,24,5,1,2.5,5,1,0,-4,0,clean
0,31,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
9,56,245,3.777778,18,67,32.265305,9,2,0.5,25,68,3.722222,220,0,clean
3,95,0,0,8,0,0,0,3,0,0,0,0,0,0,clean
17,163,0,0,34,0,0,0,3,0,0,0,0,0,0,clean
6,114,0,0,17,0,0,0,2,0,0,0,0,0,0,clean
8,64,0,0,18,0,0,0,2,0,0,0,0,0,0,clean
6,56,120,8.75,8,36,48.391666,34,2,4.25,56,70,4.5,64,0,buggy
10,56,215,4.8,15,37,37.56279,75,2,5,140,72,2.466667,75,0,buggy
3,70,0,0,7,0,0,0,2,0,0,0,0,0,0,clean
15,44,0,0,30,0,0,0,3,0,0,0,0,0,0,clean
6,70,0,0,6,0,0,0,2,0,0,0,0,0,0,clean
0,13,0,0,3,0,0,0,2,0,0,0,0,0,0,buggy
8,113,0,0,34,0,0,0,3,0,0,0,0,0,0,clean
13,64,0,0,22,0,0,0,2,0,0,0,0,0,0,clean
4,37,0,0,7,0,0,0,3,0,0,0,0,0,0,buggy
1,27,0,0,10,0,0,0,2,0,0,0,0,0,0,clean
4,37,0,0,9,0,0,0,3,0,0,0,0,0,0,buggy
2,57,0,0,5,0,0,0,2,0,0,0,0,0,0,clean
14,156,0,0,19,0,0,0,3,0,0,0,0,0,0,clean
0,43,0,0,2,0,0,0,1,0,0,0,0,0,0,clean
1,50,13,2.5,4,10,34.692307,2,2,0.5,3,10,2.5,10,0,clean
