@relation 'data/final_8020_mylyn.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,7,11,0,13,0,5,2,3,4,0,16,1,11,0,32,13,0,13,7,0,9,1,2,4,2,6,33,4,2,7,0.41,7,3,24,3,1,2,54,7,2,15,clean
1,41,108,2,84,2,23,13,16,12,0,141,8,117,1,241,155,0,82,41,0,61,1,4,12,1,19,85,12,2,16,0.64,12,16,192,16,1,2,452,46,2,152,clean
11,20,57,0,70,0,36,8,11,7,0,111,6,76,0.86,163,16,0,67,20,0,31,3,8,7,1,11,12,8,1,9.77,0.1,8.91,11,127,11,6,1,208,21,1,105,clean
2,101,180,0,132,1,11,64,67,7,0,87,22,180,0,408,176,0,128,101,1,86,2,3,7,1,67,93,7,1,5,0.43,5,67,312,67,1,1,668,104,1,214,clean
1,3,3,0,8,3,3,0,3,1,0,23,0,3,0,18,13,1,11,3,0,7,0,2,1,1,3,66,1,1,3,0.72,3,3,11,3,1,1,38,3,1,7,clean
6,26,49,0,35,2,10,8,12,5,0,64,6,53,0.95,114,16,3,34,26,0,37,2,5,5,1,15,28.25,6,2,9.25,0.14,8.3,8,84,13,5,2,165,29,2,55,clean
1,8,14,0,20,0,6,1,2,5,0,15,0,15,2,43,18,0,19,8,0,10,1,2,5,4,8,0,5,4,17,0.42,15,2,34,2,1,4,71,8,4,24,clean
1,25,34,0,51,0,14,7,7,7,0,27,0,41,0,124,18,0,57,25,0,12,0,2,7,1,11,0,8,3,12,0.15,12,7,85,7,1,3,152,27,3,58,clean
1,5,33,0,24,0,6,5,5,1,0,18,1,33,3,64,15,0,25,5,0,24,0,2,1,1,5,0,1,1,14,0.23,11,5,57,5,1,1,103,5,1,51,clean
2,20,34,0,28,0,7,10,11,2,0,24,6,48,0,100,36,2,32,28,0,28,1,1,6,1,16,85,6,1,3,0.36,3,11,62,14,2,1,157,28,1,43,clean
1,7,50,0,26,2,11,5,7,1,0,27,0,51,1,91,10,0,31,7,0,23,0,3,1,1,7,0,1,1,13,0.11,11,7,76,7,1,1,124,7,1,67,clean
1,6,21,0,24,2,14,2,4,2,0,17,1,23,1,56,16,0,26,6,0,18,0,2,2,1,4,25,2,1,11,0.29,9,4,45,4,1,1,90,6,1,38,clean
1,6,72,0,52,2,30,3,5,2,0,18,10,75,2,135,13,0,53,6,0,32,0,2,2,1,5,48,2,1,21,0.1,19,5,124,5,1,1,180,6,1,116,clean
14,46,63,0,77,1,30,23,29,6,0,120,6,95,0,204,24,2,62,46,0,37,5,7,6,1,31,12.29,9,1,5.45,0.12,5.45,29,140,29,7,1,262,49,1,87,clean
1,1,1,0,4,0,0,1,1,1,0,105,0,1,0,7,13,0,4,1,0,4,0,4,1,1,1,0,1,1,3,1.86,3,1,5,1,1,1,24,1,1,3,clean
16,74,221,0.28,127,1,18,8,11,8,0,115,0,246,1.51,443,58,0,123,74,0,116,2,8,8,1,40,0,12,2,12.88,0.13,11.09,11,348,36,9,2,615,83,2,271,clean
4,87,207,0,122,6,5,22,35,19,1,67,9,207,0,394,137,1,122,90,0,81,6,4,19,1,40,45,24,2,9.43,0.35,8.75,35,329,35,2,2,609,96,2,241,clean
2,26,38,0,40,0,9,12,12,4,0,25,2,38,0,97,21,0,32,26,0,18,0,1,4,1,12,50,4,2,7,0.22,7,12,78,12,1,2,134,26,2,42,clean
2,19,45,0,40,0,9,13,14,3,0,27,11,55,0,120,45,0,45,24,0,33,1,1,7,1,14,75,7,1,7,0.38,7,14,85,14,1,1,195,26,1,65,clean
2,74,142,0,78,6,16,9,18,22,0,156,1,153,0,286,76,0,77,74,2,38,3,4,22,1,21,94,22,4,15,0.27,14,18,220,18,1,4,400,75,4,146,clean
6,93,169,0.34,129,0,16,4,5,10,1,44,3,194,0,416,95,0,131,94,0,75,0,3,10,1,43,11,13,3,11.3,0.23,10.61,5,298,35,4,2,577,112,2,201,buggy
1,5,7,0,9,0,4,1,2,4,0,15,0,7,0,22,16,2,9,5,0,9,1,2,4,2,5,50,5,3,8,0.73,7,2,16,2,1,2,45,6,2,10,buggy
2,27,35,0,39,1,8,18,19,5,0,32,8,36,0,98,73,0,34,27,0,32,0,1,5,1,19,89,5,1,4,0.74,4,19,74,19,1,1,203,27,1,40,clean
5,51,77,0.74,100,0,37,16,23,11,0,62,8,86,0,230,49,3,94,51,0,54,7,3,11,1,33,55.33,14,2,8.02,0.21,6.87,23,177,23,3,2,325,60,2,125,clean
