@relation 'data/final_8020_team.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113-weka.filters.unsupervised.attribute.Remove-R4-5,7,9-11,16,25-26,32-34,47-48,56'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute AvgLineComment numeric
@attribute CountStmtDecl numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
2,107,159,1,126,0,3,1,1,12,0,14,0,178,0,378,260,0,118,107,0,48,0,1,12,1,73,0,14,2,8,0.69,7,1,285,44,2,2,686,111,2,188,buggy
14,55,89,0,100,2,18,5,7,5,0,98,0,112,0,246,140,0,92,55,0,40,0,7,5,1,33,0,5,2,7.29,0.57,7.29,7,189,30,8,1,426,60,1,138,clean
14,86,129,0.3,125,1,21,14,16,5,0,139,2,148,0,351,137,0,129,86,0,41,1,10,5,1,51,11,6,2,5.58,0.39,4.78,16,254,44,8,1,522,90,1,169,buggy
4,46,76,0.32,69,3,11,15,21,6,0,47,2,79,0,182,76,4,60,46,0,29,3,3,6,1,29,43,7,2,8.68,0.42,7.36,20,145,21,2,2,281,49,2,105,clean
1,133,249,0,139,5,6,44,53,14,0,66,8,256,0,501,387,17,134,135,0,75,4,1,14,1,79,92,16,2,9,0.77,8,27,388,53,1,2,943,152,2,259,clean
6,21,118,0,77,8,16,4,16,4,0,55,8,122,0.49,220,33,0,76,21,0,31,4,4,4,1,16,25,4,1,9.67,0.15,9.18,16,195,16,3,1,279,21,1,174,clean
3,38,56,0,56,4,6,2,6,5,0,32,2,60,0,151,192,0,55,38,0,31,0,3,5,1,28,20,5,1,5.25,1.27,5.25,6,112,26,3,1,373,39,1,72,buggy
4,57,97,0,68,8,17,11,28,6,0,194,3,103,0,228,47,0,70,57,1,28,9,6,6,1,43,26,6,2,6.88,0.21,6.88,27,165,28,3,2,302,59,2,106,clean
1,4,5,0,12,0,2,2,2,3,0,15,0,5,0,21,10,0,12,4,0,6,0,2,3,2,4,0,4,2,6,0.48,6,2,17,2,1,2,37,5,2,12,clean
25,175,283,0.17,233,6,84,27,59,11,3,296,6,322,0,684,77,0,202,178,0,60,23,14,11,1,94,7.75,14,3,10.16,0.11,9.99,59,516,59,12,2,820,199,3,358,buggy
1,24,32,0,44,6,9,7,13,4,0,26,2,28,0,91,100,3,42,24,1,21,0,2,4,1,13,86,5,2,5,1.1,5,13,76,13,1,1,209,26,1,53,buggy
1,41,78,0,65,3,10,5,14,8,0,27,3,97,1,194,26,0,64,42,1,35,6,2,9,2,33,80,13,3,14,0.13,12,12,143,14,1,2,255,53,3,104,clean
6,59,107,0,102,5,13,13,30,6,0,69,6,121,0,287,157,1,115,59,2,34,12,4,6,1,38,28,10,2,6.57,0.55,6.57,28,209,30,3,1,478,67,1,158,buggy
8,26,36,0,44,1,26,10,14,4,1,94,2,43,0,104,58,0,35,26,2,15,2,6,4,1,14,18.75,4,1,7.02,0.56,6.86,14,80,14,4,1,176,26,1,58,buggy
2,25,32,0,33,0,1,13,13,3,0,26,3,34,0,95,103,0,39,25,0,22,0,2,3,1,18,69,3,1,6,1.08,5,13,65,18,2,1,220,25,1,41,clean
4,19,41,0.65,48,2,13,3,8,6,0,85,6,50,0.65,116,17,0,52,19,0,20,3,6,6,1,11,18.33,6,2,12.91,0.15,10.78,8,89,8,3,2,153,20,2,70,clean
1,19,38,0,43,4,7,6,11,5,0,47,4,39,0,100,56,0,43,19,0,14,1,3,5,1,15,75,5,1,7,0.56,7,9,81,11,1,1,169,21,1,60,clean
10,34,65,0.14,82,0,18,18,23,3,0,111,11,75,0.62,179,28,0,76,34,0,49,5,9,3,1,25,20.5,5,1,5.99,0.16,5.37,23,147,23,6,1,246,37,1,111,clean
5,78,145,0,104,11,27,14,36,6,0,275,11,152,0,318,49,0,105,78,0,42,11,12,6,1,49,36,7,2,6.8,0.15,6.8,29,249,36,4,2,407,90,2,168,clean
7,32,53,0,50,9,15,9,18,5,0,70,6,58,0,137,81,0,52,32,0,20,0,5,5,1,24,20.25,5,1,4.6,0.59,4.6,18,103,18,4,1,237,32,1,70,clean
3,23,34,0.56,43,1,9,6,8,6,0,34,1,38,0,97,65,1,39,23,0,14,1,2,6,2,17,33,6,3,9.15,0.67,8.59,7,77,8,2,2,173,24,2,56,clean
2,58,110,0,57,1,4,16,19,20,0,32,5,113,0,212,229,12,57,62,2,44,2,1,20,1,27,88,23,3,10,1.08,9,15,167,19,1,3,477,68,3,108,buggy
4,40,56,1.48,64,0,4,3,3,6,0,29,0,75,0,168,328,0,58,40,0,25,0,2,6,1,23,0,8,2,8.79,1.95,7.31,3,120,21,3,1,521,44,1,89,buggy
11,68,225,1.13,127,10,43,6,27,10,1,105,17,243,0.73,442,110,1,131,68,0,49,10,7,10,1,48,14.17,13,2,17.07,0.25,14.87,27,352,27,6,2,588,73,2,284,clean
23,126,201,0.2,179,14,47,36,62,7,0,349,13,249,0,564,151,0,207,126,0,82,12,17,7,1,78,13.83,9,2,7.93,0.27,7.52,60,380,62,12,2,791,142,2,252,buggy
1,7,14,0,27,2,8,2,5,3,0,38,2,15,0,52,39,0,29,7,0,9,1,3,3,1,5,60,3,1,7,0.75,7,5,41,5,1,1,100,7,1,34,clean
5,126,232,2,148,1,28,18,30,12,0,69,0,265,0.59,517,205,15,136,126,0,69,11,3,12,2,62,31.33,13,4,17.77,0.4,15.78,2,380,30,3,4,750,137,4,262,clean
1,3,7,0,12,0,4,3,3,1,0,16,0,7,0,23,10,0,12,3,0,6,0,2,1,1,3,0,1,1,4,0.43,4,2,19,3,1,1,39,3,1,15,clean
2,34,53,0,52,2,5,12,19,6,0,32,6,64,0,146,62,8,53,34,0,29,5,1,6,1,21,91,6,1,6,0.42,6,19,105,19,1,1,223,34,1,70,clean
1,11,22,0,21,0,6,6,7,4,0,20,0,26,0,60,68,2,22,11,0,13,1,1,4,1,10,100,4,1,6,1.13,6,0,43,7,1,1,139,11,1,31,clean
4,23,33,0,42,1,14,10,12,5,0,38,2,38,0,94,24,2,35,23,0,18,1,2,5,1,12,38.5,5,2,6.03,0.26,5.03,11,75,12,2,1,135,24,1,56,clean
11,41,66,0,72,1,23,8,16,5,2,94,5,84,0,182,16,0,61,41,0,16,5,7,5,1,26,11.83,5,2,13.84,0.09,13.63,16,138,16,6,2,214,41,2,98,clean
3,8,12,0,17,1,10,2,3,4,0,67,0,13,0,35,18,0,16,8,0,6,0,4,4,2,8,0,4,2,11.58,0.51,11.58,3,29,3,2,2,59,8,2,21,clean
3,9,16,0,27,0,12,6,6,2,0,39,2,17,0,59,51,0,33,9,0,9,0,3,2,1,6,49.5,4,1,10.31,0.86,10.31,6,43,6,2,1,119,11,1,33,clean
1,1,2,0,7,0,0,1,1,1,0,171,0,2,0,11,13,0,7,1,0,3,0,5,1,1,1,0,1,1,4,1.18,4,1,9,1,1,1,27,1,1,7,clean
3,15,38,1.65,22,0,4,4,5,6,0,31,6,69,0,109,44,3,22,23,1,9,1,2,12,3,18,25,12,4,15.06,0.4,13.97,5,60,5,2,3,154,23,4,44,clean
6,93,131,0,105,0,5,10,10,6,0,49,0,146,0,331,175,0,105,94,0,45,0,3,6,1,51,0,7,2,4.57,0.53,4.57,10,236,41,4,2,551,99,2,151,buggy
2,5,4,0,12,0,4,5,5,1,0,18,0,4,0,22,22,0,12,5,0,8,0,1,1,1,5,0,1,1,2,1,2,5,16,5,1,1,52,5,1,10,clean
3,6,9,0,16,0,6,4,4,3,0,34,2,11,0,32,33,0,14,6,0,4,0,3,3,1,4,16.5,4,1,5.35,1.03,5.35,4,25,4,2,1,68,7,1,19,clean
4,10,10,0,30,0,14,4,5,3,0,31,1,16,0,55,10,0,29,10,0,9,1,3,3,1,5,37.5,3,2,9.81,0.18,9.81,4,40,5,2,2,74,10,2,30,clean
2,21,54,3,39,1,12,4,5,17,0,18,4,59,1,116,27,1,38,21,0,16,0,1,17,1,9,60,18,4,22,0.23,20,5,93,5,1,4,149,22,4,72,clean
1,7,14,0,15,0,11,2,2,6,0,15,0,15,0,40,10,0,18,7,0,5,0,1,6,1,2,0,7,4,17,0.25,17,0,29,2,1,3,55,8,3,22,buggy
1,3,10,0,10,0,4,3,3,1,0,16,0,10,0,24,11,0,10,3,0,4,0,2,1,1,3,0,1,1,6,0.46,5,2,20,3,1,1,39,3,1,16,clean
3,13,30,0,35,6,7,6,12,2,0,38,5,32,0,80,34,0,34,13,0,19,0,3,2,1,12,40,3,1,5.37,0.42,5.37,12,65,12,2,1,133,14,1,51,clean
2,31,55,0.12,60,0,10,6,11,7,0,194,2,56,0,147,72,7,58,31,0,17,5,7,7,1,18,43,8,3,5.07,0.49,4.83,5,115,11,2,2,226,34,2,84,buggy
2,3,2,0,6,0,2,3,3,1,0,16,0,2,0,12,19,0,6,3,0,5,0,1,1,1,3,0,1,1,2,1.58,2,3,8,3,1,1,35,3,1,4,clean
9,34,85,0.27,68,0,21,12,16,7,2,103,10,96,0.14,188,59,1,62,34,0,27,2,7,7,1,25,16.6,7,2,12.64,0.31,11.32,16,153,16,5,2,269,38,2,120,clean
20,60,182,0.1,114,9,44,14,27,10,0,249,22,204,0.1,357,72,1,105,60,0,38,4,14,10,1,39,14.27,12,2,10.29,0.2,9.7,26,296,27,11,2,453,63,2,236,buggy
2,15,18,0,21,0,3,2,2,2,0,15,0,21,0,51,66,0,18,15,0,13,0,1,2,1,11,0,2,1,3,1.29,2,2,39,11,2,1,130,15,1,26,clean
3,34,81,0.62,49,1,31,7,11,6,0,37,0,84,0,161,37,13,49,34,0,23,3,3,6,1,20,46.5,6,3,15.14,0.23,13.89,5,130,11,2,3,220,35,3,98,clean
2,53,79,0,73,0,3,2,2,7,0,15,0,81,0,190,110,0,66,53,0,37,0,1,7,1,41,0,7,2,4,0.58,4,2,152,29,2,1,336,58,1,105,buggy
12,61,110,1.5,110,1,31,23,31,9,1,118,6,158,0,338,93,2,117,62,0,61,6,8,9,1,40,14.67,9,2,10.91,0.28,8.78,31,220,33,7,1,488,67,1,165,buggy
2,4,4,0,6,0,2,3,3,2,0,16,0,4,0,15,18,0,6,4,0,5,0,1,2,1,3,0,2,1,3,1.2,3,3,10,3,1,1,36,4,1,5,clean
15,28,63,0.21,52,0,25,13,16,3,0,135,6,82,0.38,156,19,0,52,28,0,24,3,9,3,1,16,9.38,5,2,10.75,0.12,10.37,16,115,16,8,1,197,32,1,87,clean
8,18,56,0.7,52,6,27,7,13,3,0,335,2,81,0.53,154,58,0,56,18,0,27,0,12,3,1,13,13.6,3,1,10.59,0.38,9.57,13,108,13,5,1,231,18,1,88,clean
2,5,8,0,13,0,1,3,3,2,0,72,2,8,0,27,10,0,13,5,0,4,0,2,2,1,3,0,3,2,6,0.37,6,3,21,3,1,1,41,7,1,15,clean
3,50,98,0,88,0,8,35,37,3,0,63,0,104,0,235,38,3,85,52,0,56,2,2,4,1,39,48.5,6,1,4.78,0.16,4.78,1,186,37,2,1,329,54,1,138,clean
6,100,179,0.45,155,0,47,27,36,8,0,75,13,197,0,441,190,9,153,103,0,55,9,3,10,1,68,62.33,11,2,10.6,0.43,10.15,36,334,36,3,2,677,107,2,241,clean
6,37,73,0.89,66,1,25,5,9,22,0,61,1,93,0.3,194,27,0,70,40,0,18,3,5,25,1,12,25,25,4,12.59,0.14,12,4,139,9,4,4,225,40,4,106,buggy
