@relation data/final_8020_team.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute metrics9 numeric
@attribute CountStmtDecl numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute CntDeclMethodDefault numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute PcntLackOfCohesion numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute CODECHURN numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute metrics39 numeric
@attribute SumCyclomaticStrict numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute AvgCyclomatic numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute REFACTORINGS numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute CountSemicolon numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
1,29,49,10,188,74,24,10,7,70,11,23,1687734,3375089,0,0,189,65,39,47,159,0.446339,1.6875,2,2.366667,30,2,1,2,69,4,11,5,11,176.59259,12,1,5,0.009187,99.9753,0,0.015509,423,45,1,11,391.833,11,57,0,123,43,95,1,0,39,29,0,18,3.166667,174,71,2,3,12,1,20,2,9,81,7,5,6,20,15,31,14,2,10,0.35,9,9,2.3,22,25,19,12,33,50,23,16,15,22,2,88,11,1,2,184,5,32,3,18,5,2,5,9,1,69,8,3,58,3,buggy
5,90,142,2,238,37,1,4,0,43,16,36,9415,14639,0,0,26,9,116,19,41,0.652159,1.46429,2,0.145161,124,5,1,3,9,6,16,46,52,141.461533,7,1,2,0.152592,99.8474,0,0,666,78,3,3,148,1,161,0,360,187,24,1,1,119,90,0,56,0.193548,35,18,0,3,7,1,65,6,5,44.5,2,1,1,16,6,7,20,2,6.13,0.52,6.13,51,0.072581,10,14,8,9,8,17,10,10,-9,11,0,258,52,2,1,598,1,109,0,8,1,1,0,4,0,34,1,0,167,1,clean
17,68,145,3,212,22,2,4,1,33,16,36,305,3206,34348,0.4,107,9,96,10,21,33.0248,15.4285,11,1.25641,39,21,9,15,47,1,27,17,27,83.588783,15,3,7,38.0233,61.7666,3,0.210108,441,187,15,23,110,1,167,0.07,314,40,29,2,0,90,68,0,38,0.74359,51,49,6,12,15,1,31,6,3,9.56,1,1,1,9,5,5,17,2,8.56,0.13,8.09,27,1.205128,5,9,5,6,5,14,8,9,56,8,0,241,27,9,2,386,1,76,0,4,1,2,0,3,0,20,1,0,173,1,clean
7,62,94,6,52,24,6,4,3,44,6,33,4130780,4130780,49156,0,36,17,89,39,72,0,1,0,0.25,40,2,0,1,5,7,23,13,25,102,9,16,8,0.091942,22.4649,0,77.4432,566,243,0,0,1701,34,107,0,255,63,8,3,2,83,62,0,30,0.2,23,10,5,17,9,1,30,0,20,31.8,1,0,3,16,0,3,10,2,5.12,0.25,4.94,25,0.125,8,18,3,0,7,33,5,7,13,12,0,183,25,5,2,347,1,67,0,23,0,2,1,3,0,23,1,2,125,1,clean
1,43,252,9,301,24,6,4,3,44,6,33,0,0,49156,3,205,17,172,39,72,0,0,0,0.837838,74,2,0,0,55,0,18,35,38,146.873169,2,16,8,0.091942,22.4649,0,77.4432,566,51,0,0,1701,34,270,1,490,148,7,3,0,174,43,0,117,0.094595,17,62,3,2,2,1,38,0,20,0,1,0,3,16,0,3,2,1,16,0.3,11,34,0.743243,8,18,3,0,7,33,5,7,188,12,0,424,38,1,1,746,1,46,0,23,0,1,1,3,0,23,1,2,379,1,clean
3,33,46,2,52,24,6,4,3,44,6,33,0,0,49156,0,62,17,61,39,72,0,1,0,0.852941,34,2,0,1,15,10,14,7,18,60.387096,4,16,8,0.091942,22.4649,0,77.4432,566,44,0,0,1701,34,48,0,140,75,14,2,2,57,33,1,19,0.411765,33,29,1,3,4,1,18,0,20,79.5,1,0,3,16,0,3,4,1,5.55,0.54,5.55,18,0.441176,8,18,3,0,7,33,5,7,29,12,0,107,18,2,1,233,1,33,0,23,0,1,1,3,0,23,1,2,79,1,clean
1,16,25,4,186,64,20,9,6,53,12,21,1563078,1568412,0,0,84,59,38,51,167,0.329124,1.875,2,6,10,4,1,2,58,7,20,2,10,178,3,1,7,0.873497,99.106,0,0.020525,302,36,1,9,119.857,7,29,0,85,22,5,1,0,40,16,0,14,0.5,23,60,1,3,3,1,10,1,8,80,6,6,6,18,13,28,4,1,6,0.26,6,9,5.8,18,22,18,9,29,39,19,13,61,17,2,63,10,1,1,119,4,17,3,16,5,1,5,10,1,57,8,2,46,2,buggy
10,72,138,9,193,111,38,16,9,77,12,21,1826557,1826557,336722,0.4,435,100,84,94,317,0,1,0,2.896552,29,2,0,1,54,0,16,5,5,185.491959,11,0,9,0,99.969,0,0.031018,257,70,0,6,117.143,11,173,0,310,128,49,2,0,75,72,0,25,1.689655,225,84,0,5,11,1,33,0,13,0,11,9,10,29,22,50,22,3,18.6,0.41,18.2,5,1.862069,32,38,32,15,49,68,27,18,210,26,3,222,25,6,2,461,8,85,5,28,9,2,8,16,3,99,16,2,150,4,buggy
3,52,89,3,212,111,38,16,9,77,12,21,1826557,1826557,336722,0.65,148,100,71,94,317,0,1,0,1.892857,56,2,0,1,4,1,6,2,4,189.364868,6,0,9,0,99.969,1,0.031018,300,40,0,6,136.667,11,125,0,248,133,173,1,3,74,57,2,42,3.089286,226,106,0,4,8,1,31,0,13,33,11,9,10,29,22,50,8,1,5.65,0.54,5.65,4,0.071429,32,38,32,15,49,68,27,18,-78,26,3,160,31,3,1,418,8,59,5,28,9,1,8,16,2,99,16,2,113,4,buggy
2,7,7,1,271,111,38,16,9,77,12,21,0,0,336722,0,5,100,16,94,317,0,1,0,0.6,5,2,0,1,0,0,3,7,7,44,1,0,9,0,99.969,0,0.031018,900,20,1,6,410,11,7,0,31,10,3,1,0,16,7,0,11,0.6,5,3,0,1,1,1,7,0,13,28,11,9,10,29,22,50,1,1,3,0.32,3,7,0,32,38,32,15,49,68,27,18,0,26,3,23,7,1,1,52,8,7,5,28,9,1,8,16,0,99,16,2,15,4,buggy
8,92,159,11,164,132,175,15,13,168,29,49,5410793,5410831,1690219,0.09,330,256,145,19,63,0.971562,2.81818,3,1.333333,51,5,1,2,67,5,44,24,40,170.012116,9,6,6,15.1897,82.9133,0,1.89702,1247,158,14,7,1294.5,28,181,0,393,42,43,3,1,137,93,0,75,0.843137,163,68,11,10,9,1,53,11,11,32.4,6,5,13,21,23,36,10,2,7.31,0.11,6.92,28,1.313726,56,28,26,17,66,245,33,31,167,64,1,304,40,5,2,508,2,100,1,29,2,2,2,6,1,128,4,1,221,1,buggy
6,38,80,5,212,23,3,4,4,28,6,16,17877,20038,26526,4.78,81,13,67,12,20,2.89563,4.48571,2,1.92,25,5,4,2,17,0,39,6,7,162.197525,26,10,6,27.5325,71.6548,0,0.812736,341,46,3,0,3,1,94,2.04,189,30,31,3,0,60,38,0,18,1.24,60,48,1,4,26,2,15,5,2,22,0,0,2,13,5,3,28,5,40.7,0.16,36.93,7,0.68,6,13,0,5,9,7,9,6,21,16,0,147,7,3,5,223,1,40,0,4,0,5,1,3,0,22,2,1,114,0,clean
1,11,23,0,240,41,28,11,9,72,9,16,0,0,0,0,0,45,26,7,22,0.552771,2.5,2,0,4,5,1,2,0,2,4,4,6,0,4,9,3,0.390233,99.5964,0,0.013349,924,19,3,3,788.5,6,24,0,58,15,0,0,2,26,11,1,17,0,0,0,0,2,4,1,8,14,3,63,1,3,3,7,13,11,4,1,8,0.26,7,5,0,13,13,6,6,21,50,22,22,0,28,0,49,6,1,1,88,0,11,0,8,0,1,1,7,0,37,1,4,37,0,clean
25,179,322,42,112,58,180,43,43,83,22,51,1711,3323,5051618,0.3,1476,296,225,2,5,3.54254,2.87483,4,5.446154,65,6,4,7,230,6,65,56,84,166.421402,8,5,350,18.6961,81.1504,6,0.153434,1883,378,28,18,2141.6,25,348,0.23,725,143,491,3,3,220,179,0,128,7.553846,1145,354,16,17,8,1,120,14,2,21,2,2,4,12,9,14,11,2,6.6,0.2,5.95,83,3.538461,23,15,7,7,29,291,19,16,331,24,0,547,90,15,1,988,0,199,0,10,0,1,0,2,1,57,0,1,367,0,clean
