@relation 'data/final_8020_team.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute CountStmtDecl numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute REFACTORINGS numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
3,33,46,2,52,0,62,61,0.852941,34,15,10,14,7,18,60.387096,4,0,44,0,48,0,140,75,14,2,2,57,33,1,19,0.411765,33,29,1,3,4,1,18,79.5,4,1,5.55,0.54,5.55,18,0.441176,29,107,18,2,1,233,33,1,0,79,clean
1,16,25,4,186,0,84,38,6,10,58,7,20,2,10,178,3,0,36,1,29,0,85,22,5,1,0,40,16,0,14,0.5,23,60,1,3,3,1,10,80,4,1,6,0.26,6,9,5.8,61,63,10,1,1,119,17,1,1,46,buggy
10,72,138,9,193,0.4,435,84,2.896552,29,54,0,16,5,5,185.491959,11,0,70,0,173,0,310,128,49,2,0,75,72,0,25,1.689655,225,84,0,5,11,1,33,0,22,3,18.6,0.41,18.2,5,1.862069,210,222,25,6,2,461,85,2,3,150,buggy
3,52,89,3,212,0.65,148,71,1.892857,56,4,1,6,2,4,189.364868,6,1,40,0,125,0,248,133,173,1,3,74,57,2,42,3.089286,226,106,0,4,8,1,31,33,8,1,5.65,0.54,5.65,4,0.071429,-78,160,31,3,1,418,59,1,2,113,buggy
2,7,7,1,271,0,5,16,0.6,5,0,0,3,7,7,44,1,0,20,1,7,0,31,10,3,1,0,16,7,0,11,0.6,5,3,0,1,1,1,7,28,1,1,3,0.32,3,7,0,0,23,7,1,1,52,7,1,0,15,buggy
8,92,159,11,164,0.09,330,145,1.333333,51,67,5,44,24,40,170.012116,9,0,158,14,181,0,393,42,43,3,1,137,93,0,75,0.843137,163,68,11,10,9,1,53,32.4,10,2,7.31,0.11,6.92,28,1.313726,167,304,40,5,2,508,100,2,1,221,buggy
6,38,80,5,212,4.78,81,67,1.92,25,17,0,39,6,7,162.197525,26,0,46,3,94,2.04,189,30,31,3,0,60,38,0,18,1.24,60,48,1,4,26,2,15,22,28,5,40.7,0.16,36.93,7,0.68,21,147,7,3,5,223,40,5,0,114,clean
1,11,23,0,240,0,0,26,0,4,0,2,4,4,6,0,4,0,19,3,24,0,58,15,0,0,2,26,11,1,17,0,0,0,0,2,4,1,8,63,4,1,8,0.26,7,5,0,0,49,6,1,1,88,11,1,0,37,clean
25,179,322,42,112,0.3,1476,225,5.446154,65,230,6,65,56,84,166.421402,8,6,378,28,348,0.23,725,143,491,3,3,220,179,0,128,7.553846,1145,354,16,17,8,1,120,21,11,2,6.6,0.2,5.95,83,3.538461,331,547,90,15,1,988,199,1,1,367,clean
2,107,159,13,164,1,654,126,4.358491,53,165,0,3,1,1,183.55658,12,0,14,0,178,0,378,260,80,2,0,118,107,0,48,1.509434,385,231,0,1,12,1,73,0,14,2,8,0.69,7,1,3.113208,269,285,44,2,2,686,111,2,3,188,buggy
14,55,89,4,187,0,204,100,5.2,15,47,2,18,5,7,180.039215,5,0,98,0,112,0,246,140,31,1,0,92,55,0,40,2.066667,97,78,0,7,5,1,33,0,5,2,7.29,0.57,7.29,7,3.133333,107,189,30,8,1,426,60,1,0,138,clean
14,86,129,13,58,0.3,274,125,2.961539,26,44,1,21,14,16,122.642334,5,0,139,2,148,0,351,137,305,3,0,129,86,0,41,11.730769,405,77,1,10,5,1,51,11,6,2,5.58,0.39,4.78,16,1.692308,-131,254,44,8,1,522,90,1,0,169,buggy
4,46,76,5,254,0.32,25,69,0.255814,43,10,3,11,15,21,146.759995,6,0,47,2,79,0,182,76,13,3,4,60,46,0,29,0.302326,22,11,3,3,6,1,29,43,7,2,8.68,0.42,7.36,20,0.232558,3,145,21,2,2,281,49,2,0,105,clean
1,133,249,5,96,0,53,139,0.243243,74,12,5,6,44,53,105.28302,14,0,66,8,256,0,501,387,6,3,17,134,135,0,75,0.081081,23,18,4,1,14,1,79,92,16,2,9,0.77,8,27,0.162162,30,388,53,1,2,943,152,2,0,259,clean
6,21,118,1,2,0,9,77,0.102564,39,3,8,16,4,16,121.111115,4,0,55,8,122,0.49,220,33,2,1,0,76,21,0,31,0.051282,3,4,4,4,4,1,16,25,4,1,9.67,0.15,9.18,16,0.076923,6,195,16,3,1,279,21,1,0,174,clean
3,38,56,0,250,0,3,56,0.083333,24,0,4,6,2,6,180.666672,5,0,32,2,60,0,151,192,2,1,0,55,38,0,31,0.083333,3,2,0,3,5,1,28,20,5,1,5.25,1.27,5.25,6,0,0,112,26,3,1,373,39,1,0,72,buggy
4,57,97,10,157,0,515,68,5.074074,27,135,8,17,11,28,157.196121,6,0,194,3,103,0,228,47,405,4,0,70,57,1,28,15,641,137,9,6,6,1,43,26,6,2,6.88,0.21,6.88,27,5,-126,165,28,3,2,302,59,2,1,106,clean
1,4,5,1,169,0,10,12,5,2,10,0,2,2,2,65,3,0,15,0,5,0,21,10,0,2,0,12,4,0,6,0,0,10,0,2,3,2,4,0,4,2,6,0.48,6,2,5,10,17,2,1,2,37,5,2,0,12,clean
25,175,283,24,181,0.17,614,233,4.1875,32,66,6,84,27,59,164.006516,11,3,296,6,322,0,684,77,78,4,0,202,178,0,60,2.4375,259,134,23,14,11,1,94,7.75,14,3,10.16,0.11,9.99,59,2.0625,355,516,59,12,2,820,199,3,1,358,buggy
1,24,32,5,188,0,427,44,10.25,16,164,6,9,7,13,187.3349,4,0,26,2,28,0,91,100,16,2,3,42,24,1,21,1,54,164,0,2,4,1,13,86,5,2,5,1.1,5,13,10.25,373,76,13,1,1,209,26,1,1,53,buggy
1,41,78,7,98,0,179,65,8.636364,11,38,3,10,5,14,108.636871,8,0,27,3,97,1,194,26,57,3,0,64,42,1,35,5.181818,96,95,6,2,9,2,33,80,13,3,14,0.13,12,12,3.454546,83,143,14,1,2,255,53,3,0,104,clean
6,59,107,9,186,0,108,102,1.35,20,13,5,13,13,30,156.833328,6,0,69,6,121,0,287,157,35,2,1,115,59,2,34,1.75,95,27,12,4,6,1,38,28,10,2,6.57,0.55,6.57,28,0.65,13,209,30,3,1,478,67,1,0,158,buggy
8,26,36,2,186,0,33,44,1.333333,9,8,1,26,10,14,180.909088,4,1,94,2,43,0,104,58,14,1,0,35,26,2,15,1.555556,31,12,2,6,4,1,14,18.75,4,1,7.02,0.56,6.86,14,0.888889,2,80,14,4,1,176,26,1,1,58,buggy
2,25,32,1,148,0,22,33,2.5,4,10,0,1,13,13,87.63636,3,0,26,3,34,0,95,103,11,2,0,39,25,0,22,2.75,13,10,0,2,3,1,18,69,3,1,6,1.08,5,13,2.5,9,65,18,2,1,220,25,1,0,41,clean
