@relation 'data/final_8020_team.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-3,6-16,18-24,27-29,31-34,36-52,55-59,63-82,84-91,93-107,109-113'

@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute LOC_ADDED numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute WEIGHTD_AGE numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute REFACTORINGS numeric
@attribute class {buggy,clean}

@data
4,142,23,0.5,14,4,150.304352,3,2,0.214286,13,7,0.285714,10,0,clean
1,30,0,0,3,0,0,0,1,0,0,0,0,0,0,buggy
3,301,5,0.117647,17,1,139,2,2,0.117647,5,2,0.058824,0,0,clean
2,197,43,0.493333,75,4,190.883728,305,1,4.066667,307,37,0.053333,-264,0,clean
1,98,133,2.214286,28,4,104.774437,95,2,3.392857,195,62,0.142857,-62,0,buggy
0,282,4,0.6,5,0,176.5,3,1,0.6,4,3,0,0,0,clean
4,98,116,1.791667,24,43,113.094826,26,2,1.083333,63,43,1.791667,53,0,clean
0,212,7,0.0625,48,2,116,2,2,0.041667,4,3,0.041667,3,0,buggy
0,178,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
1,301,10,0.085106,47,4,161.800003,2,1,0.042553,4,4,0.085106,6,0,clean
2,212,6,0.037037,81,2,176.5,2,2,0.024691,5,3,0.024691,1,0,buggy
6,109,996,49.625,8,397,105.089356,99,2,12.375,111,397,49.625,885,0,buggy
2,142,9,0.3,10,3,158.333328,2,2,0.2,3,3,0.3,6,0,clean
3,212,8,0.121212,33,2,84.75,2,2,0.060606,5,4,0.060606,3,0,clean
4,109,506,38.666668,6,232,107.934784,23,1,3.833333,43,232,38.666668,463,0,clean
0,236,3,0.333333,6,0,176,2,1,0.333333,3,2,0,0,0,clean
2,245,56,2.75,20,54,31.928572,1,2,0.05,2,55,2.7,54,0,clean
3,212,37,0.205128,78,13,178.486481,7,2,0.089744,14,16,0.166667,23,0,clean
5,205,172,4.666667,12,52,97.511627,42,3,3.5,72,56,4.333334,100,0,buggy
1,188,24,0.454545,22,4,181.541672,96,1,4.363637,103,10,0.181818,-79,0,buggy
0,212,0,0,24,0,0,0,0,0,0,0,0,0,0,clean
3,246,144,0.640719,167,105,174.361115,2,2,0.011976,8,107,0.628743,136,1,buggy
3,245,139,5.217392,23,10,187.553955,126,2,5.478261,140,120,0.434783,-1,2,buggy
7,273,638,7.575758,33,126,144.721008,141,2,4.272728,453,250,3.818182,185,0,buggy
3,179,38,8,3,22,176.263153,2,1,0.666667,3,24,7.333334,35,0,buggy
1,271,4,0.5,4,0,47.5,3,1,0.75,5,2,0,-1,0,buggy
11,187,497,3.965517,29,99,176.521133,32,3,1.103448,182,115,3.413793,315,1,buggy
17,19,775,2.152174,46,92,158.593552,228,2,4.956522,560,99,2,215,0,buggy
1,271,2,0.4,5,0,65,2,1,0.4,2,2,0,0,0,clean
1,142,0,0,1,0,0,0,1,0,0,0,0,0,0,clean
2,111,158,1.25,44,51,119.025314,8,1,0.181818,19,55,1.159091,139,0,buggy
4,212,156,2.585366,41,102,148.461533,76,3,1.853659,100,106,2.487805,56,0,clean
18,112,2562,16.961039,77,142,60.750977,1306,3,16.961039,1936,1306,1.844156,626,0,buggy
2,212,41,0.526316,38,13,150.926834,17,3,0.447368,33,20,0.342105,8,0,clean
8,188,313,3.833333,18,69,185.76358,39,1,2.166667,95,69,3.833333,218,2,buggy
1,238,6,0.181818,22,3,175.333328,2,2,0.090909,3,4,0.136364,3,0,buggy
2,98,10,2.5,4,10,65,0,1,0,0,10,2.5,10,0,buggy
2,212,6,0.088235,34,0,180.5,3,1,0.088235,6,3,0,0,0,buggy
9,44,75,0.10929,183,18,138.720001,48,2,0.262295,77,20,0.098361,-2,0,clean
0,212,9,0.205882,34,7,187.333328,2,1,0.058824,2,7,0.205882,7,0,clean
13,112,229,1.625,24,35,165.061142,13,3,0.541667,70,39,1.458333,159,0,buggy
2,253,74,1.810811,37,56,130.013519,11,2,0.297297,17,67,1.513514,57,0,clean
0,212,10,0.1875,32,1,74.199997,19,2,0.59375,22,6,0.03125,-12,0,clean
0,205,8,0.085714,35,0,69.75,3,2,0.085714,8,3,0,0,0,clean
3,186,55,2,11,17,177.090912,62,1,5.636364,85,22,1.545455,-30,1,clean
5,98,86,7,6,23,102.093025,24,2,4,50,42,3.833333,36,0,buggy
0,246,0,0,30,0,0,0,0,0,0,0,0,0,0,clean
8,190,89,1.722222,18,31,182.842697,17,1,0.944444,35,31,1.722222,54,2,clean
0,212,3,0.111111,18,0,176,2,1,0.111111,3,2,0,0,0,clean
3,163,46,2.714286,7,10,88.08696,17,3,2.428572,25,19,1.428572,21,0,clean
3,212,167,10.1875,16,136,103.155685,27,3,1.6875,31,163,8.5,136,0,clean
4,186,75,2.909091,11,24,175.880005,19,2,1.727273,49,32,2.181818,26,0,clean
2,212,28,0.625,32,2,187.642853,25,2,0.78125,30,20,0.0625,-2,0,clean
3,112,68,1.71875,32,16,176.411758,39,2,1.21875,42,55,0.5,26,0,clean
2,44,8,0.038961,77,2,156.125,9,1,0.116883,14,3,0.025974,-6,0,clean
5,112,38,0.070313,128,8,135.710526,23,2,0.179688,31,9,0.0625,7,0,clean
5,110,126,7,12,72,135.658737,12,2,1,45,84,6,81,0,buggy
15,146,516,2.970588,34,55,179.449616,102,2,3,264,101,1.617647,252,1,clean
2,275,8,0.5,6,0,100.25,9,2,1.5,14,3,0,-6,0,clean
2,212,10,0.173913,23,3,131.600006,3,1,0.130435,7,4,0.130435,3,0,clean
