@relation 'data/final_8020.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R6-15,18,20-24,27-29,37-40,42-43,46-48,68-69,71-76,84-91,93-94,100,102-104,106-107,109-111,113'

@attribute CntClassBase numeric
@attribute SumCyclomaticModified numeric
@attribute CountStmtExe numeric
@attribute BUGFIXES numeric
@attribute AGE numeric
@attribute AvgLineComment numeric
@attribute LOC_ADDED numeric
@attribute CountStmtDecl numeric
@attribute AVE_LOC_ADDED numeric
@attribute REVISONS numeric
@attribute MAX_CODECHURN numeric
@attribute CntDeclMethodProtected numeric
@attribute CntClassCoupled numeric
@attribute CntDeclMethodPublic numeric
@attribute CntDeclMethod numeric
@attribute WEIGHTD_AGE numeric
@attribute MaxCyclomaticModified numeric
@attribute CntDeclMethodDefault numeric
@attribute CntDeclMethodAll numeric
@attribute CntDeclInstanceVariable numeric
@attribute CountLineCodeExe numeric
@attribute AvgLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineComment numeric
@attribute MAX_LOC_DELETED numeric
@attribute AUTHORS numeric
@attribute CntDeclClassVariable numeric
@attribute CountLineCodeDecl numeric
@attribute SumCyclomatic numeric
@attribute CntClassDerived numeric
@attribute CountLineBlank numeric
@attribute AVG_LOC_DELETED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CntDeclMethodPrivate numeric
@attribute MxInheritanceTree numeric
@attribute MaxCyclomatic numeric
@attribute AvgEssential numeric
@attribute SumEssential numeric
@attribute PcntLackOfCohesion numeric
@attribute MaxCyclomaticStrict numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode numeric
@attribute CntDeclInstanceMethod numeric
@attribute AVE_CODECHURN numeric
@attribute CODECHURN numeric
@attribute CountStmt numeric
@attribute CountDeclFunction numeric
@attribute CountDeclClass numeric
@attribute AvgCyclomaticModified numeric
@attribute CountLine numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute REFACTORINGS numeric
@attribute CountSemicolon numeric
@attribute class {buggy,clean}

@data
1,1,3,9,171,0,0,16,0,14,0,0,2,1,1,0,1,0,27,0,3,2,21,13,0,1,0,16,1,0,7,0,0,0,0,4,1,1,1,0,1,1,11,0.62,9,1,0,0,19,1,1,1,41,1,1,0,17,clean
1,2,4,2,196,0,0,11,0,4,0,0,3,2,2,0,1,0,15,1,4,0,18,13,0,1,0,11,2,0,6,0,0,0,0,1,1,1,2,0,1,1,4,0.72,4,2,0,0,15,2,1,1,37,2,1,0,12,clean
3,49,35,2,1,2,70,51,3.8,10,9,0,9,8,9,107.64286,21,0,156,1,40,2,122,41,29,7,1,56,49,0,33,2.9,56,38,1,4,21,1,22,77,21,2,24,0.34,20,9,0.9,14,86,9,1,2,191,49,2,0,62,clean
1,4,9,1,23,2,0,17,0,1,0,0,5,1,1,0,4,0,21,0,9,3,29,16,0,1,0,17,4,0,6,0,0,0,0,2,4,3,3,0,5,5,23,0.55,18,1,0,0,26,1,1,4,51,5,4,0,21,clean
1,1,10,0,219,0,4,6,2,2,3,0,0,1,1,95,1,0,14,0,10,0,18,15,1,1,0,6,1,0,3,0.5,1,4,0,2,1,1,1,0,1,1,12,0.83,12,1,1.5,3,16,1,1,1,36,1,1,0,14,clean
7,15,50,4,197,0,113,40,1.148148,27,26,0,10,8,8,127.061951,5,0,60,7,57,0.6,104,15,16,5,0,37,15,0,23,0.592593,72,31,0,5,5,1,10,12.75,5,1,9.83,0.14,8.93,8,0.962963,41,90,8,4,1,142,15,1,0,74,clean
2,8,13,0,197,0,35,16,2.444444,9,17,0,3,6,6,105.199997,3,0,38,2,13,0,36,13,5,2,1,16,8,0,12,0.555556,9,22,0,3,3,1,6,66,3,1,5,0.36,4,6,1.888889,26,29,6,1,1,58,8,1,0,20,clean
1,24,42,3,69,1,0,42,0,4,0,0,1,5,16,0,4,0,29,6,45,0,111,45,0,2,0,42,24,0,32,0,0,0,11,1,4,1,16,84,4,1,8,0.41,6,16,0,0,84,16,1,1,188,25,1,0,59,clean
4,66,114,4,75,0,49,87,7,5,34,0,14,24,31,45.632652,10,0,144,6,125,0,282,224,4,2,5,91,66,0,54,0.8,9,35,7,8,10,1,37,47,14,2,4.99,0.79,4.99,30,6.8,40,201,32,5,2,549,81,2,0,134,clean
3,13,53,2,157,0,540,43,11,16,176,0,7,7,8,116.498146,4,0,34,6,53,0.56,106,12,139,5,0,41,13,0,22,8.6875,198,176,1,3,4,1,10,26,4,1,9.15,0.11,8.03,8,11,342,96,8,2,1,139,13,1,1,83,clean
9,100,129,2,102,2.71,281,88,7.166667,12,85,0,48,16,22,86.22776,10,0,312,4,137,0,265,63,66,1,3,84,100,0,34,5.5,123,86,6,18,10,1,56,20.67,12,2,19.67,0.24,19.04,22,7.083334,158,217,22,6,2,316,106,2,1,166,clean
1,18,33,4,116,2,0,32,0,11,0,1,9,2,4,0,8,0,28,0,37,2,91,27,0,2,0,35,18,0,16,0,0,0,1,2,8,4,17,0,8,4,22,0.3,18,2,0,0,65,4,1,4,133,19,4,1,45,clean
8,21,84,8,47,0,0,64,0,25,0,1,11,10,14,0,3,0,66,7,105,0.88,190,21,0,3,2,63,21,0,47,0,0,0,3,5,3,1,14,17.25,3,1,8.44,0.11,7,14,0,0,148,14,4,1,255,21,1,0,126,clean
1,16,22,12,120,0,0,20,0,34,0,1,11,2,4,0,7,0,17,0,22,0,59,15,0,3,1,21,16,0,11,0,0,0,1,2,7,2,10,75,7,4,11,0.25,11,4,0,0,42,4,1,4,84,16,4,1,25,clean
1,4,6,8,163,0,0,15,0,13,0,0,7,1,2,0,2,0,15,1,8,0,29,16,0,2,0,16,4,0,7,0,0,0,1,2,2,1,2,50,3,2,9,0.55,9,2,0,0,21,2,1,2,52,5,2,0,16,clean
1,49,86,6,116,3,0,82,0,15,0,0,15,12,12,0,13,0,41,0,102,0,242,99,0,2,2,98,49,0,27,0,0,0,0,2,13,3,47,87,13,4,19,0.41,16,12,0,0,168,12,1,4,352,50,4,1,118,clean
4,15,96,3,44,0.31,0,31,0,15,0,2,9,13,15,0,1,0,61,7,99,0,151,21,0,1,0,34,15,0,31,0,0,0,0,6,1,1,15,25,2,1,7.67,0.14,6.95,15,0,0,127,15,3,1,203,18,1,0,109,clean
10,235,322,54,32,0,1873,172,2.362069,116,142,0,9,5,5,139.597977,17,0,70,0,382,0.2,721,348,342,10,0,165,235,0,87,2.948276,1544,274,0,5,17,1,147,0,19,3,21.2,0.48,21,5,1.224138,329,494,60,7,2,1152,255,2,2,323,clean
1,15,30,2,24,1,0,22,0,8,0,2,5,5,7,0,9,0,20,6,37,0,77,42,0,1,0,23,15,1,17,0,0,0,0,2,9,1,7,73,10,2,10,0.55,8,7,0,0,52,7,1,2,136,17,2,0,35,clean
1,115,202,19,19,1,518,143,2.368421,38,89,0,32,26,29,82.069496,12,0,42,0,216,0,424,88,171,6,5,133,115,0,40,4.5,549,90,3,1,12,2,64,96,15,4,14,0.21,13,0,2.342105,-31,345,29,1,3,519,138,3,1,240,clean
1,7,16,5,2,0,20,15,0.555556,9,1,1,6,2,3,4.1,3,0,25,1,17,0,45,29,6,2,4,20,7,0,15,0.666667,22,5,0,3,3,1,5,73,3,3,10,0.64,9,3,0.111111,-2,31,3,1,2,81,9,2,0,23,clean
2,4,6,5,163,0,0,8,0,8,0,0,0,1,1,0,4,0,14,0,6,0,19,16,0,2,0,8,4,0,4,0,0,0,0,1,4,4,4,0,5,5,15,0.84,15,1,0,0,14,1,1,4,39,5,4,0,9,clean
1,10,16,9,162,0,0,28,0,12,0,0,11,4,4,0,7,0,17,2,17,2,57,15,0,2,0,29,10,0,19,0,0,0,0,2,7,1,4,50,7,2,12,0.26,9,4,0,0,44,4,1,2,91,10,2,0,31,clean
2,24,45,11,153,0,243,40,10.615385,13,50,0,5,1,2,96.106995,6,1,15,3,57,0,127,126,88,4,0,46,26,0,27,6.769231,121,138,0,1,6,1,13,33,7,2,12,0.99,12,2,3.846154,122,85,13,2,1,279,28,2,1,61,clean
1,8,44,9,116,0,0,42,0,19,0,2,23,3,5,0,2,0,30,2,47,2,98,17,0,3,0,42,8,0,24,0,0,0,0,4,2,1,5,30,2,1,17,0.17,14,5,0,0,86,5,1,1,138,8,1,0,76,clean
1,5,74,8,24,1,0,35,0,16,0,0,21,5,5,0,1,0,18,5,75,2,118,34,0,3,0,38,5,0,28,0,0,0,0,2,1,1,5,64,1,1,21,0.29,18,5,0,0,109,5,1,1,174,5,1,0,103,clean
1,1,3,3,49,0,0,8,0,7,0,0,3,1,1,0,1,0,14,0,3,0,13,13,0,1,0,8,1,0,6,0,0,0,0,1,1,1,1,0,1,1,6,1,6,0,0,0,11,1,1,1,32,1,1,0,9,clean
2,24,54,5,56,0,24,47,2.142857,7,1,0,11,4,7,48.5,9,0,42,7,58,1.33,132,18,14,2,2,48,24,0,33,2,27,15,3,4,9,1,11,44,14,4,14.67,0.14,13.33,7,0.142857,-3,101,7,2,3,180,31,3,0,77,clean
1,72,184,15,56,0,423,149,3.458333,24,74,0,12,67,70,34.044918,2,0,83,2,230,0,454,64,66,2,0,151,72,0,87,2.75,105,83,3,2,2,1,70,35,2,1,6,0.14,6,70,3.083333,318,333,70,1,1,563,72,1,0,262,clean
1,5,7,8,126,0,0,5,0,18,0,0,3,1,1,0,5,0,20,0,7,1,19,13,0,3,0,6,5,0,5,0,0,0,0,2,5,5,5,0,5,5,14,0.68,13,1,0,0,12,1,1,5,37,5,5,0,6,clean
11,68,225,4,212,1.13,13,127,0.115385,52,2,10,43,6,27,99.769234,10,1,105,17,243,0.73,442,110,19,3,1,131,68,0,49,0.365385,26,6,10,7,10,1,48,14.17,13,2,17.07,0.25,14.87,27,0.038462,-13,352,27,6,2,588,73,2,0,284,clean
2,27,51,3,8,0.54,48,47,7.333334,6,32,0,10,12,13,24.416666,6,0,39,10,54,0,123,18,12,2,0,47,27,0,26,2,16,44,1,3,6,1,13,72.5,9,2,7.31,0.15,6.77,13,5.333334,32,98,13,2,2,161,30,2,0,70,clean
31,101,256,4,71,0.18,25,205,1.857143,7,2,18,38,43,65,67.199997,8,0,260,23,312,0.31,626,100,222,3,0,218,101,0,167,31.714285,231,13,4,17,8,1,65,8.27,8,1,6.48,0.16,5.56,65,0.285714,-206,461,65,15,1,893,103,1,1,351,clean
1,41,78,7,238,2,42,70,1.307692,13,8,1,7,5,8,144.285721,9,0,21,0,88,3,222,78,15,4,3,80,45,0,40,1.153846,50,17,2,1,13,2,23,87,15,6,26,0.35,21,0,0.615385,-8,148,8,1,5,338,52,5,0,110,clean
4,16,28,12,132,0,0,38,0,43,0,1,15,8,9,0,6,0,35,2,39,0,96,29,0,3,0,42,16,2,16,0,0,0,0,3,6,1,12,34,6,1,8.8,0.3,8.8,9,0,0,66,9,2,1,140,16,1,1,51,clean
1,31,163,5,24,0,0,92,0,13,0,2,24,15,17,0,7,0,30,2,164,2,287,30,0,2,0,91,31,0,67,0,0,0,0,2,7,1,17,50,7,1,18,0.1,15,17,0,0,255,17,1,1,384,31,1,0,220,clean
1,8,76,4,49,4,0,63,0,7,0,1,35,7,8,0,1,0,21,1,87,1,165,52,0,1,0,67,8,0,27,0,0,0,0,2,1,1,8,12,1,1,18,0.32,16,8,0,0,139,8,1,1,206,8,1,0,128,clean
1,3,10,3,49,1,0,20,0,4,0,2,12,1,3,0,1,0,16,2,10,1,36,17,0,1,0,22,3,0,14,0,0,0,0,2,1,1,3,33,1,1,8,0.47,7,3,0,0,30,3,1,1,66,3,1,0,26,clean
1,17,32,9,24,0,0,45,0,29,0,0,23,13,13,0,2,0,26,0,38,0,107,23,0,3,0,51,17,0,19,0,0,0,0,1,2,1,13,0,2,1,6,0.21,6,0,0,0,77,13,1,1,149,17,1,0,59,clean
11,41,66,1,171,0,24,72,7.666667,3,21,1,23,8,16,115.791664,5,2,94,5,84,0,182,16,2,2,0,61,41,0,16,0.666667,3,23,5,7,5,1,26,11.83,5,2,13.84,0.09,13.63,16,7,21,138,16,6,2,214,41,2,0,98,clean
1,2,3,8,115,0,0,12,0,13,0,1,6,1,2,0,1,0,25,1,3,0,19,15,0,3,0,13,2,0,7,0,0,0,0,3,1,1,2,0,1,1,4,0.79,4,2,0,0,15,2,1,1,41,2,1,0,12,clean
1,22,39,3,249,0,80,49,2.384615,13,11,0,7,3,10,160.350006,5,0,23,2,44,0,114,39,29,3,3,51,22,0,14,2.230769,76,31,7,1,5,1,13,78,6,2,9,0.34,9,10,0.846154,4,88,10,1,2,159,25,2,0,66,clean
1,11,32,7,233,5,61,39,0.8,20,16,1,5,1,2,139.327866,10,0,15,0,35,7,86,37,27,2,0,41,11,0,19,1.35,38,16,0,2,10,2,4,0,13,7,44,0.43,31,2,0.8,23,71,2,1,5,141,14,5,0,59,clean
1,56,95,2,239,0,27,77,3.125,8,20,0,4,18,19,50.814816,6,0,32,0,99,1,238,101,5,2,9,70,56,0,45,0.625,7,25,1,1,6,1,33,97,8,3,12,0.42,11,0,2.5,20,172,19,1,2,384,72,2,0,122,clean
1,5,13,0,238,3,0,13,0,2,0,0,2,1,1,0,5,0,14,0,13,4,37,21,0,0,0,13,5,0,6,0,0,0,0,1,5,1,1,0,5,5,34,0.57,27,0,0,0,26,1,1,5,64,5,5,0,20,clean
1,16,39,0,238,11,0,51,0,7,0,0,7,3,3,0,8,0,16,0,44,7,115,99,0,0,2,55,16,0,30,0,0,0,0,2,8,1,3,16,9,6,47,0.86,28,0,0,0,90,3,1,5,243,20,5,0,74,clean
2,106,205,4,239,3,22,156,0.192308,26,3,25,18,3,28,143.090912,9,0,41,0,228,3,462,227,8,4,4,157,106,0,121,0.307692,24,5,0,1,9,2,67,93,12,4,21,0.49,15,28,0.115385,-2,361,28,1,3,799,134,3,0,270,clean
2,17,52,1,18,0,537,58,12.15,20,243,3,8,7,10,18.467411,3,0,23,8,60,1,173,25,53,3,0,61,17,0,33,2.65,72,243,0,2,3,1,12,75,3,1,14,0.14,13,10,12.15,465,110,10,1,1,223,17,1,3,92,clean
2,8,10,7,113,0,0,15,0,11,0,0,3,2,3,0,4,0,16,0,10,0,30,16,0,2,0,13,8,0,7,0,0,0,1,1,4,1,5,0,4,2,7,0.53,7,3,0,0,25,3,1,2,53,8,2,0,14,clean
6,23,31,6,116,0,0,30,0,14,0,0,9,4,7,0,13,0,46,0,38,0,87,21,0,2,1,27,23,0,12,0,0,0,3,3,13,1,11,13.33,14,3,7.7,0.24,7.3,6,0,0,61,7,3,3,119,24,3,1,36,clean
1,9,11,2,36,0,414,30,28.714285,7,201,0,0,7,7,33.004829,2,0,20,0,11,0,49,102,174,2,0,30,9,0,10,24.857143,182,201,0,1,2,1,7,0,2,1,4,2.08,4,0,28.714285,232,41,7,1,1,161,9,1,0,33,clean
6,22,64,6,56,0,67,75,3,9,27,0,11,6,6,39.388062,3,0,45,0,77,0,174,14,17,2,0,69,22,0,42,1.888889,23,27,0,3,3,1,15,0,3,1,5,0.08,5,6,3,44,139,15,4,1,230,22,1,0,117,clean
27,62,233,8,24,0.28,0,126,0,16,0,0,68,25,33,0,7,0,237,19,308,0.28,489,71,0,3,0,121,62,0,73,0,0,0,8,16,7,1,35,6.14,9,2,12.78,0.15,11.87,33,0,0,359,33,14,1,627,76,1,1,299,clean
4,58,119,5,24,1.92,0,104,0,11,0,0,39,20,23,0,23,0,62,11,136,1.65,290,56,0,3,1,95,58,0,74,0,0,0,3,4,23,1,23,46.67,24,2,15.69,0.19,11.9,22,0,0,223,23,3,2,409,59,2,0,152,clean
1,17,29,0,31,0,6,29,1.666667,3,5,0,9,9,10,28.666666,4,1,23,2,30,0,79,22,1,1,4,31,17,0,21,0.333333,1,5,0,2,4,1,10,88,4,1,6,0.28,6,9,1.666667,5,58,10,1,1,117,18,1,0,40,clean
3,73,162,10,56,0,169,99,3.25,20,43,0,21,11,19,41.964497,28,0,45,9,190,0,366,23,50,2,0,102,88,0,47,2.5,90,65,8,3,28,1,34,68.5,29,4,14.8,0.06,14.8,19,2.15,79,261,19,2,3,436,91,4,1,181,buggy
1,12,98,16,47,2,0,82,0,32,0,2,19,7,10,0,3,0,33,2,101,4,204,40,0,3,1,89,12,0,59,0,0,0,1,3,3,1,10,46,3,1,23,0.2,17,10,0,0,180,10,1,1,301,12,1,2,168,clean
34,256,440,41,52,0.05,0,326,0,90,0,4,180,89,100,0,20,0,321,12,574,0.25,1145,175,0,4,28,318,256,0,190,0,0,0,7,17,20,1,122,5.65,29,3,7.51,0.15,7.01,100,0,0,766,100,17,2,1451,301,2,3,473,buggy
2,28,46,10,128,0,0,45,0,23,0,0,13,13,13,0,4,0,26,3,50,0,120,26,0,2,0,42,28,0,21,0,0,0,0,1,4,1,15,58,5,2,7,0.22,7,13,0,0,91,13,1,2,165,29,2,4,55,clean
1,9,18,3,72,0,41,30,3.714286,7,2,3,5,2,5,62.365852,5,0,18,0,19,1,59,23,30,1,1,32,9,0,15,4.285714,44,26,0,2,5,1,5,80,5,1,9,0.39,7,5,0.285714,-3,48,5,1,1,95,9,1,0,38,clean
1,12,39,4,128,0,0,32,0,10,0,2,4,8,10,0,2,0,33,2,39,0,84,16,0,2,0,32,12,0,21,0,0,0,0,3,2,1,10,30,2,1,8,0.19,7,10,0,0,71,10,1,1,121,12,1,1,60,clean
2,39,49,8,118,0,0,60,0,15,0,0,13,19,19,0,4,0,32,4,50,0,137,27,0,3,0,47,39,0,27,0,0,0,0,1,4,1,21,72,5,2,6,0.2,6,19,0,0,109,19,1,2,191,40,2,1,55,clean
1,2,31,7,118,0,0,16,0,11,0,0,11,2,2,0,1,0,25,0,34,3,53,14,0,2,0,16,2,0,12,0,0,0,0,3,1,1,2,0,1,1,24,0.26,21,2,0,0,47,2,1,1,79,2,1,1,44,clean
3,45,71,8,116,0.6,56,59,0.75,16,3,0,22,14,16,69.053574,12,0,42,6,80,0,185,29,18,2,1,59,45,0,28,1.125,66,12,2,2,12,1,22,39.5,12,2,8.57,0.16,7.98,16,0.1875,-10,130,16,2,2,242,45,2,1,78,clean
1,3,11,0,30,0,7,11,1,4,4,0,4,1,2,17,2,0,15,0,11,0,26,15,3,1,1,11,3,0,5,0.75,3,4,1,1,2,1,2,50,2,1,8,0.58,8,0,1,4,22,2,1,1,45,3,1,0,18,clean
13,27,79,9,24,0,0,97,0,31,0,2,38,7,15,0,6,0,118,3,110,0.69,237,27,0,4,3,100,27,0,44,0,0,0,6,9,6,1,15,12.43,7,1,8.59,0.11,7.61,15,0,0,176,15,7,1,301,29,1,1,149,clean
2,10,19,11,53,0,0,19,0,21,0,0,7,7,8,0,2,0,77,1,21,0,52,22,0,3,1,20,10,1,14,0,0,0,1,2,2,1,8,75,2,1,5,0.42,4,8,0,0,38,8,1,1,87,10,1,2,27,clean
2,24,23,6,5,1,0,30,0,11,0,0,5,24,24,0,1,0,37,0,23,0,78,112,0,2,0,30,24,17,29,0,0,0,0,1,1,1,24,0,1,1,3,1.44,2,24,0,0,53,24,1,1,219,24,1,0,28,clean
3,45,71,16,53,0,0,77,0,37,0,0,24,22,24,0,11,0,37,2,82,0,214,35,0,3,2,88,45,3,36,0,0,0,2,2,11,1,31,87,13,2,7,0.16,6,22,0,0,148,24,1,1,279,52,1,0,100,clean
1,3,4,5,132,0,0,7,0,8,0,1,1,1,2,0,2,0,23,1,5,0,17,13,0,1,0,8,3,0,7,0,0,0,0,3,2,1,2,0,2,1,5,0.76,5,2,0,0,11,2,1,1,37,3,1,0,7,clean
